"OTU","Genus","Phylum","p_value","p_adj_BH","control","Asthma","in_top_panel"
"RSV_genus1192","Providencia","Proteobacteria",3.69098454181159e-05,4.79166914575817e-05,-0.252106806468976,-0.242530648090362,FALSE
"RSV_genus1193","Rahnella","Proteobacteria",3.1942832502194e-05,4.57556527101212e-05,-0.250858028094102,-0.242530648090362,FALSE
"RSV_genus1194","Serratia","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1195","Shimwellia","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1196","Tatumella","Proteobacteria",3.44960139909144e-05,4.6819484530566e-05,-0.251886958646613,-0.242530648090362,FALSE
"RSV_genus1197","Trabulsiella","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",2.62400841723258e-07,4.2202802043824e-05,0.143905290132779,0.279578473341571,FALSE
"RSV_genus1200","Aquicella","Proteobacteria",5.79854676373555e-06,4.57556527101212e-05,-0.247613403545562,-0.224413550740241,FALSE
"RSV_genus1201","Coxiella","Proteobacteria",1.87603035371566e-05,4.57556527101212e-05,-0.223948764387951,-0.204841258692262,FALSE
"RSV_genus1202","Diplorickettsia","Proteobacteria",1.58900454107299e-05,4.57556527101212e-05,-0.253506957326854,-0.23268690618033,FALSE
"RSV_genus1204","Rickettsiella","Proteobacteria",2.06715818366319e-05,4.57556527101212e-05,-0.250201491565983,-0.23451151721702,FALSE
"RSV_genus1205","Legionella","Proteobacteria",3.0956232765529e-05,4.57556527101212e-05,-0.234663273304114,-0.227290365993443,FALSE
"RSV_genus1207","Methylobacter","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1208","Methylocaldum","Proteobacteria",3.24214345591428e-05,4.57556527101212e-05,-0.25286995810806,-0.242530648090362,FALSE
"RSV_genus1209","Methylomonas","Proteobacteria",3.16499271116124e-05,4.57556527101212e-05,-0.253025618710692,-0.242530648090362,FALSE
"RSV_genus1212","Alcanivorax","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1214","Cobetia","Proteobacteria",3.43805600722733e-05,4.6819484530566e-05,-0.252706802710199,-0.242530648090362,FALSE
"RSV_genus1215","Halomonas","Proteobacteria",2.7947185563432e-05,4.57556527101212e-05,-0.237787910032373,-0.229799620270558,FALSE
