"OTU","Genus","Phylum","p_value","p_adj_BH","control","Colon.cancer","in_top_panel"
"RSV_genus744","Psychrilyobacter","Fusobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus746","Leptotrichia","Fusobacteria",0.434845592196724,0.457607411635593,6.37410316011363,5.77268742007048,FALSE
"RSV_genus748","Sebaldella","Fusobacteria",0.13992858686984,0.186796757689188,-0.252201961355093,-0.217835215046443,FALSE
"RSV_genus749","Sneathia","Fusobacteria",0.40637228975323,0.429047329991102,-0.0204582372785899,-0.217835215046443,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",0.776056377587463,0.789973000392302,0.75474388649384,0.340514415831726,FALSE
"RSV_genus754","Gemmatimonas","Gemmatimonadetes",0.146343874005102,0.186796757689188,-0.241012249575656,-0.217835215046443,FALSE
"RSV_genus762","Victivallis","Lentisphaerae",0.142728479164716,0.186796757689188,-0.249996926384737,-0.217835215046443,FALSE
"RSV_genus768","Nitrospira","Nitrospirae",0.139288499687322,0.186796757689188,-0.253611721373632,-0.217835215046443,FALSE
"RSV_genus776","AKYG587","Planctomycetes",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus778","SM1A02","Planctomycetes",0.139821748782368,0.186796757689188,-0.253611721373632,-0.217835215046443,FALSE
"RSV_genus779","Urania-1B-19 marine sediment group","Planctomycetes",0.139075638969093,0.186796757689188,-0.252064563601582,-0.217835215046443,FALSE
"RSV_genus782","CPla-4 termite group","Planctomycetes",0.138969302584155,0.186796757689188,-0.252539456632493,-0.217835215046443,FALSE
"RSV_genus783","Gemmata","Planctomycetes",0.141000425188292,0.186796757689188,-0.251061442619522,-0.217835215046443,FALSE
"RSV_genus784","Isosphaera","Planctomycetes",0.140892958175734,0.186796757689188,-0.252054304724318,-0.217835215046443,FALSE
"RSV_genus786","Pir4 lineage","Planctomycetes",0.14535097843081,0.186796757689188,-0.241104288003657,-0.217835215046443,FALSE
"RSV_genus787","Pirellula","Planctomycetes",0.150367410072317,0.186796757689188,-0.244534727304535,-0.217835215046443,FALSE
"RSV_genus788","Planctomyces","Planctomycetes",0.15252467119106,0.186796757689188,-0.236286260722004,-0.217835215046443,FALSE
"RSV_genus789","Rhodopirellula","Planctomycetes",0.143054291436617,0.186796757689188,-0.249326489320258,-0.217835215046443,FALSE
"RSV_genus790","Rubripirellula","Planctomycetes",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus791","Singulisphaera","Planctomycetes",0.141754459445878,0.186796757689188,-0.250270074279614,-0.217835215046443,FALSE
"RSV_genus794","Asticcacaulis","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus795","Brevundimonas","Proteobacteria",0.189913791933378,0.212360149728516,-0.196307504854202,-0.217835215046443,FALSE
"RSV_genus796","Caulobacter","Proteobacteria",0.146122783281327,0.186796757689188,-0.239839073193036,-0.217835215046443,FALSE
"RSV_genus798","Phenylobacterium","Proteobacteria",0.156793133397142,0.186796757689188,-0.230134526382573,-0.217835215046443,FALSE
"RSV_genus799","Hirschia","Proteobacteria",0.142728479164716,0.186796757689188,-0.249097567616471,-0.217835215046443,FALSE
"RSV_genus800","Hyphomonas","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus801","Robiginitomaculum","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus802","Woodsholea","Proteobacteria",0.139501611136835,0.186796757689188,-0.25014955601924,-0.217835215046443,FALSE
"RSV_genus807","Aurantimonas","Proteobacteria",0.138969302584155,0.186796757689188,-0.253611721373632,-0.217835215046443,FALSE
"RSV_genus808","Aureimonas","Proteobacteria",0.14381673923202,0.186796757689188,-0.245176490747696,-0.217835215046443,FALSE
"RSV_genus809","Martelella","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus812","Bartonella","Proteobacteria",0.140785554145321,0.186796757689188,-0.251763515322928,-0.217835215046443,FALSE
"RSV_genus813","Chelatococcus","Proteobacteria",0.139821748782368,0.186796757689188,-0.252189531272657,-0.217835215046443,FALSE
"RSV_genus814","Methylorosula","Proteobacteria",0.139608260935849,0.186796757689188,-0.252277576564408,-0.217835215046443,FALSE
"RSV_genus815","Methylovirgula","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus817","Afipia","Proteobacteria",0.140785554145321,0.186796757689188,-0.25233841199218,-0.217835215046443,FALSE
"RSV_genus818","Bosea","Proteobacteria",0.169646620564176,0.195590189778291,-0.220408666882878,-0.217835215046443,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.207284252728706,0.229918740095633,-0.169874721715881,-0.217835215046443,FALSE
"RSV_genus821","Nitrobacter","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus822","Oligotropha","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus823","Rhodopseudomonas","Proteobacteria",0.138863028821956,0.186796757689188,-0.252259364466602,-0.217835215046443,FALSE
"RSV_genus824","Salinarimonas","Proteobacteria",0.139821748782368,0.186796757689188,-0.252839593356079,-0.217835215046443,FALSE
"RSV_genus825","Tardiphaga","Proteobacteria",0.139714973477697,0.186796757689188,-0.253425696019019,-0.217835215046443,FALSE
"RSV_genus826","Brucella","Proteobacteria",0.151159467791035,0.186796757689188,-0.235854141957715,-0.217835215046443,FALSE
"RSV_genus828","Ochrobactrum","Proteobacteria",0.147898681980309,0.186796757689188,-0.243094429597696,-0.217835215046443,FALSE
"RSV_genus829","Paenochrobactrum","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus832","Ancalomicrobium","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
