"OTU","Genus","Phylum","p_value","p_adj_BH","control","Angina","in_top_panel"
"RSV_genus890","Marivita","Proteobacteria",0.00103786081879979,0.00159587888504181,-0.253506957326854,-0.223097576429212,FALSE
"RSV_genus892","Nesiotobacter","Proteobacteria",0.00102587711465142,0.00159587888504181,-0.253506957326854,-0.223097576429212,FALSE
"RSV_genus893","Paenirhodobacter","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus894","Palleronia","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.000327671958669839,0.00159587888504181,-0.177008849374243,-0.109681021886972,FALSE
"RSV_genus896","Profundibacterium","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus897","Rhodobacter","Proteobacteria",0.00161314011645027,0.00192182742268458,-0.238494509427078,-0.223097576429212,FALSE
"RSV_genus898","Rubellimicrobium","Proteobacteria",0.00130849949531199,0.0016658337902059,-0.238763616341889,-0.223097576429212,FALSE
"RSV_genus899","Ruegeria","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus900","Tabrizicola","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus902","Acetobacter","Proteobacteria",0.00108595990491459,0.00159587888504181,-0.250456250396414,-0.223097576429212,FALSE
"RSV_genus903","Acidicaldus","Proteobacteria",0.0010086747380259,0.00159587888504181,-0.252480592338409,-0.223097576429212,FALSE
"RSV_genus904","Acidiphilium","Proteobacteria",0.00103786081879979,0.00159587888504181,-0.253025618710692,-0.223097576429212,FALSE
"RSV_genus905","Acidisoma","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus906","Acidocella","Proteobacteria",0.00411144212127346,0.00454993308145515,-0.218179110295036,-0.223097576429212,FALSE
"RSV_genus907","Asaia","Proteobacteria",0.00103786081879979,0.00159587888504181,-0.252839593356079,-0.223097576429212,FALSE
"RSV_genus908","Belnapia","Proteobacteria",0.0010285893840638,0.00159587888504181,-0.253211644065304,-0.223097576429212,FALSE
"RSV_genus909","Craurococcus","Proteobacteria",0.00106951471496175,0.00159587888504181,-0.252854459340974,-0.223097576429212,FALSE
"RSV_genus910","Gluconacetobacter","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus911","Gluconobacter","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus913","Paracraurococcus","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus914","Roseococcus","Proteobacteria",0.00107629147965489,0.00159587888504181,-0.252854459340974,-0.223097576429212,FALSE
"RSV_genus915","Roseomonas","Proteobacteria",0.00118654024054085,0.00159805868038677,-0.245897982339653,-0.223097576429212,FALSE
"RSV_genus916","Saccharibacter","Proteobacteria",0.00103731330667443,0.00159587888504181,-0.253173275341467,-0.223097576429212,FALSE
"RSV_genus917","Stella","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus925","AEGEAN-169 marine group","Proteobacteria",0.001003884903827,0.00159587888504181,-0.252854459340974,-0.223097576429212,FALSE
"RSV_genus926","Azospirillum","Proteobacteria",0.00118282672471881,0.00159723681949813,-0.249391078072064,-0.223097576429212,FALSE
"RSV_genus927","Defluviicoccus","Proteobacteria",0.00103786081879979,0.00159587888504181,-0.253506957326854,-0.223097576429212,FALSE
"RSV_genus928","Dongia","Proteobacteria",0.00103786081879979,0.00159587888504181,-0.251672670144621,-0.223097576429212,FALSE
"RSV_genus929","Magnetospirillum","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus930","Marispirillum","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus932","Skermanella","Proteobacteria",0.00106277744047705,0.00159587888504181,-0.251714603328169,-0.223097576429212,FALSE
"RSV_genus933","Telmatospirillum","Proteobacteria",0.00102479406142347,0.00159587888504181,-0.253611721373632,-0.223097576429212,FALSE
"RSV_genus934","Thalassospira","Proteobacteria",0.000697232345274067,0.00159587888504181,-0.249186438186932,-0.203293371270356,FALSE
"RSV_genus935","Candidatus Alysiosphaera","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus936","Geminicoccus","Proteobacteria",0.00103786081879979,0.00159587888504181,-0.252091551209795,-0.223097576429212,FALSE
"RSV_genus938","Reyranella","Proteobacteria",0.00184898098729458,0.00214929930459648,-0.240260072216942,-0.223097576429212,FALSE
"RSV_genus940","Wolbachia","Proteobacteria",0.00325493870010151,0.00362703908267662,-0.21101117371936,-0.223097576429212,FALSE
"RSV_genus946","Rickettsia","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus947","Candidatus Captivus","Proteobacteria",0.00112544241459248,0.00159587888504181,-0.251868279369706,-0.223097576429212,FALSE
"RSV_genus948","Candidatus Hepatincola","Proteobacteria",0.00166659529972813,0.00197818507286303,-0.237133717117168,-0.223097576429212,FALSE
"RSV_genus949","Candidatus Odyssella","Proteobacteria",0.00114148416569077,0.00159587888504181,-0.250810348595749,-0.223097576429212,FALSE
"RSV_genus957","Altererythrobacter","Proteobacteria",0.00134630750377433,0.00168420564585362,-0.238969043229624,-0.223097576429212,FALSE
"RSV_genus958","Erythrobacter","Proteobacteria",0.00109916860232802,0.00159587888504181,-0.245382822723983,-0.223097576429212,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.000858983675066008,0.00159587888504181,-0.206651084522728,-0.136405782311439,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.0113413564815459,0.0123247849151934,-0.0572626850806632,-0.00952860826845243,FALSE
"RSV_genus966","Novosphingobium","Proteobacteria",0.00273796401800275,0.00308300499109994,-0.213363782847853,-0.223097576429212,FALSE
"RSV_genus967","Polymorphobacter","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus968","Sandaracinobacter","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.00229251337840829,0.00261498275433097,-0.193178297214732,-0.203293371270356,FALSE
"RSV_genus970","Sphingomicrobium","Proteobacteria",0.00108310794427346,0.00159587888504181,-0.2477811149094,-0.223097576429212,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.00261492978808262,0.00294790566063053,-0.137865626440926,-0.103043283514053,FALSE
"RSV_genus972","Sphingopyxis","Proteobacteria",0.00139300656041162,0.00171987861958531,-0.242086776896629,-0.223097576429212,FALSE
