"OTU","Genus","Phylum","p_value","p_adj_BH","control","Gum.disease","in_top_panel"
"RSV_genus1285","Xanthomonas","Proteobacteria",6.01040187857869e-55,6.89659668588398e-55,-0.109037561763387,-0.182613754988587,FALSE
"RSV_genus1286","Xylella","Proteobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1287","Acidibacter","Proteobacteria",9.625441570731e-61,1.28650292461986e-60,-0.219230188099399,-0.26750488126088,FALSE
"RSV_genus1288","Candidatus Competibacter","Proteobacteria",1.28521706556497e-61,2.87268876007016e-61,-0.224237194926574,-0.273878869653688,FALSE
"RSV_genus1290","Steroidobacter","Proteobacteria",1.52496361160967e-60,1.99672983066937e-60,-0.21372764208746,-0.257285099902097,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",4.20176779936628e-11,4.41208479476437e-11,0.40283817171774,0.401207121356463,FALSE
"RSV_genus1301","Turneriella","Spirochaetae",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1304","Sphaerochaeta","Spirochaetae",5.28796600648578e-59,6.28434383775712e-59,-0.224724708079846,-0.268004538214394,FALSE
"RSV_genus1305","Spirochaeta 2","Spirochaetae",1.69594611190248e-40,1.86612086429406e-40,-0.223001041639366,-0.148462474916265,FALSE
"RSV_genus1306","Treponema","Spirochaetae",1.95375824709652e-61,3.36674412222883e-61,-0.223977134441106,-0.271522568466532,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",8.03147276150793e-150,7.75037121485516e-147,2.88358264204049,5.10295313312995,TRUE
"RSV_genus1308","Candidatus Tammella","Synergistetes",4.89350858729914e-53,5.56867427682036e-53,-0.225356821019241,-0.250509312506903,FALSE
"RSV_genus1309","Fretibacterium","Synergistetes",1.96406937850523e-143,9.47663475128776e-141,0.936696672610882,2.94477903523687,TRUE
"RSV_genus1310","Jonquetella","Synergistetes",8.96920874920788e-58,1.0491256294528e-57,-0.222920626252499,-0.261064204571106,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",5.37877113201108e-09,5.60530684923401e-09,-0.194667878043693,0.0711583899440125,FALSE
"RSV_genus1312","Synergistes","Synergistetes",9.78907905883866e-61,1.30656449402203e-60,-0.224724708079846,-0.268880278618868,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",0.101443730537503,0.102291745003857,-0.114969497528937,0.576380826381095,FALSE
"RSV_genus1315","Anaeroplasma","Tenericutes",2.08161239613091e-60,2.68550262335071e-60,-0.225356821019241,-0.269861182448036,FALSE
"RSV_genus1316","Entomoplasma","Tenericutes",1.21949053582594e-61,2.87268876007016e-61,-0.220799811123353,-0.27023821122163,FALSE
"RSV_genus1317","Mesoplasma","Tenericutes",6.00589599188821e-61,8.39750517411113e-61,-0.223761545574914,-0.269117513588273,FALSE
"RSV_genus1318","Spiroplasma","Tenericutes",2.80392647843954e-62,2.87268876007016e-61,-0.220806540720455,-0.272279084413306,FALSE
"RSV_genus1319","Candidatus Phytoplasma","Tenericutes",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1321","Candidatus Bacilloplasma","Tenericutes",2.8907415913859e-60,3.6753170430664e-60,-0.213031208901812,-0.262767126317847,FALSE
