"OTU","Genus","Phylum","p_value","p_adj_BH","X70.75.bpm","X.60.bpm","X60.70.bpm","X75.85.bpm","X85..bpm","in_top_panel"
"RSV_genus833","Devosia","Proteobacteria",0.527388367356756,0.63788719251112,-0.235052039930527,-0.22844845944073,-0.232496850413675,-0.239230169675741,-0.233135054682783,FALSE
"RSV_genus834","Hyphomicrobium","Proteobacteria",0.511722260513291,0.63788719251112,-0.225394563031443,-0.232466779394966,-0.218736975335987,-0.228822494037022,-0.216866867528217,FALSE
"RSV_genus836","Pedomicrobium","Proteobacteria",0.443666855729979,0.63788719251112,-0.234038224109574,-0.232896282471775,-0.23884412963565,-0.248707435117745,-0.225076607841753,FALSE
"RSV_genus837","Pelagibacterium","Proteobacteria",0.529112270507425,0.63788719251112,-0.247514946755938,-0.244635336428173,-0.24165752474397,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus838","Rhodomicrobium","Proteobacteria",0.491510893780521,0.63788719251112,-0.243084482352511,-0.235978117563768,-0.243640740406496,-0.248707435117745,-0.232905412885542,FALSE
"RSV_genus839","Rhodoplanes","Proteobacteria",0.58122872611487,0.639926846161701,-0.24157103351476,-0.241829072539266,-0.227636329757476,-0.239249148374469,-0.237340354997886,FALSE
"RSV_genus840","Vasilyevaea","Proteobacteria",0.5270285015312,0.63788719251112,-0.247514946755938,-0.244635336428173,-0.247163545220905,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus845","Meganema","Proteobacteria",0.537838981001452,0.63788719251112,-0.246425053612418,-0.244635336428173,-0.247163545220905,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.141196720947023,0.63788719251112,-0.0957122214599435,-0.108808561423083,-0.149099011388458,-0.131793058107962,-0.112173170715711,FALSE
"RSV_genus847","Microvirga","Proteobacteria",0.516047942031557,0.63788719251112,-0.247514946755938,-0.231000154213108,-0.247163545220905,-0.24285199798436,-0.227495460091823,FALSE
"RSV_genus849","Hansschlegelia","Proteobacteria",0.531278265225565,0.63788719251112,-0.242288896994963,-0.244635336428173,-0.247163545220905,-0.24388555684184,-0.244215587175999,FALSE
"RSV_genus851","Pleomorphomonas","Proteobacteria",0.448879720885751,0.63788719251112,-0.247514946755938,-0.240696247057616,-0.244037352989817,-0.248707435117745,-0.232918088313955,FALSE
"RSV_genus853","Aliihoeflea","Proteobacteria",0.571383321763614,0.63788719251112,-0.242374288471918,-0.244635336428173,-0.24096650106593,-0.237702930293685,-0.239961164377675,FALSE
"RSV_genus854","Aminobacter","Proteobacteria",0.464566929505362,0.63788719251112,-0.247514946755938,-0.233137011308705,-0.235859318946552,-0.24659800672234,-0.237658907390254,FALSE
"RSV_genus855","Aquamicrobium","Proteobacteria",0.5270285015312,0.63788719251112,-0.247514946755938,-0.244635336428173,-0.247163545220905,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus856","Mesorhizobium","Proteobacteria",0.652257946979613,0.673186009449547,-0.237943695952847,-0.240425940594813,-0.240749732222174,-0.23408462050857,-0.233796277917182,FALSE
"RSV_genus858","Nitratireductor","Proteobacteria",0.528892443021538,0.63788719251112,-0.247514946755938,-0.244635336428173,-0.245845105582033,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus859","Phyllobacterium","Proteobacteria",0.567054968272849,0.63788719251112,-0.228242251932011,-0.244635336428173,-0.241269240887631,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus860","Pseudahrensia","Proteobacteria",0.5270285015312,0.63788719251112,-0.247514946755938,-0.244635336428173,-0.247163545220905,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus861","Ensifer","Proteobacteria",0.529977371833539,0.63788719251112,-0.247514946755938,-0.244635336428173,-0.243228955426411,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus863","Neorhizobium","Proteobacteria",0.48272407981541,0.63788719251112,-0.219019555608329,-0.227128815266589,-0.231400264116453,-0.229320864007085,-0.212672347006053,FALSE
"RSV_genus864","Rhizobium","Proteobacteria",0.458271137994304,0.63788719251112,-0.216229781305081,-0.190271773552684,-0.218353230622067,-0.221223405207469,-0.204254087757067,FALSE
"RSV_genus865","Shinella","Proteobacteria",0.535474279996464,0.63788719251112,-0.243855344122889,-0.233474549492616,-0.240702332955755,-0.248707435117745,-0.240139921262045,FALSE
"RSV_genus866","Agaricicola","Proteobacteria",0.56301324291309,0.63788719251112,-0.245049761587498,-0.244635336428173,-0.247163545220905,-0.242361165194683,-0.232748407315777,FALSE
