"OTU","Genus","Phylum","p_value","p_adj_BH","control","Heart.failure","in_top_panel"
"RSV_genus149","Dactylosporangium","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus150","Longispora","Actinobacteria",0.219120489476584,0.282531313901713,-0.253359300696079,-0.246778702133957,FALSE
"RSV_genus151","Micromonospora","Actinobacteria",0.219024566245931,0.282531313901713,-0.252449358972874,-0.246778702133957,FALSE
"RSV_genus153","Plantactinospora","Actinobacteria",0.121122548249237,0.282531313901713,-0.24233061229893,-0.205376358537035,FALSE
"RSV_genus154","Stackebrandtia","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus155","Verrucosispora","Actinobacteria",0.216874260841956,0.282531313901713,-0.253025618710692,-0.246778702133957,FALSE
"RSV_genus156","Virgisporangium","Actinobacteria",0.222836498925908,0.282531313901713,-0.252920854663914,-0.246778702133957,FALSE
"RSV_genus160","Aeromicrobium","Actinobacteria",0.223809032804443,0.282531313901713,-0.248394708957934,-0.246778702133957,FALSE
"RSV_genus161","Kribbella","Actinobacteria",0.0557329522713439,0.282531313901713,-0.250149150263143,-0.135922382608667,FALSE
"RSV_genus162","Marmoricola","Actinobacteria",0.058489508405615,0.282531313901713,-0.246853236450811,-0.169758142651824,FALSE
"RSV_genus163","Mumia","Actinobacteria",0.217875838991935,0.282531313901713,-0.252444404256175,-0.246778702133957,FALSE
"RSV_genus165","Nocardioides","Actinobacteria",0.0465911223235351,0.282531313901713,-0.213445497831331,-0.108430102941636,FALSE
"RSV_genus166","Aestuariimicrobium","Actinobacteria",0.21811479930083,0.282531313901713,-0.253359300696079,-0.246778702133957,FALSE
"RSV_genus167","Microlunatus","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus168","Micropruina","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.168234852114814,0.282531313901713,-0.129025594870461,-0.0569166093808267,FALSE
"RSV_genus171","Propioniciclava","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.597948428030708,0.61987749036205,-0.110770979847848,-0.166187376053555,FALSE
"RSV_genus173","Actinomycetospora","Actinobacteria",0.119929889840869,0.282531313901713,-0.246697751652131,-0.213895271779081,FALSE
"RSV_genus174","Actinophytocola","Actinobacteria",0.114926579164348,0.282531313901713,-0.24717602953672,-0.209264228467827,FALSE
"RSV_genus175","Crossiella","Actinobacteria",0.219216442869844,0.282531313901713,-0.249858648902031,-0.246778702133957,FALSE
"RSV_genus176","Lentzea","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus178","Prauserella","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus179","Pseudonocardia","Actinobacteria",0.133896786436985,0.282531313901713,-0.240925595788954,-0.221269177955251,FALSE
"RSV_genus180","Saccharopolyspora","Actinobacteria",0.159560271766395,0.282531313901713,-0.25132234823656,-0.229657022214445,FALSE
