"OTU","Genus","Phylum","p_value","p_adj_BH","control","Poor.oral.hygiene","in_top_panel"
"RSV_genus163","Mumia","Actinobacteria",1.33516091031599e-49,4.15724567871936e-49,-0.222880373900021,-0.262954846400456,FALSE
"RSV_genus165","Nocardioides","Actinobacteria",7.00717368576861e-50,4.15724567871936e-49,-0.186454716668023,-0.244578444439956,FALSE
"RSV_genus166","Aestuariimicrobium","Actinobacteria",3.48506355065484e-49,5.79842470065848e-49,-0.224430792300924,-0.261883219923645,FALSE
"RSV_genus167","Microlunatus","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus168","Micropruina","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",2.60230490409463e-39,2.92683476975678e-39,-0.116777393731027,-0.148747508214751,FALSE
"RSV_genus171","Propioniciclava","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",6.12659629788428e-44,7.08892737105315e-44,-0.0580732578484067,-0.117972256365625,FALSE
"RSV_genus173","Actinomycetospora","Actinobacteria",5.44536192884339e-49,8.0812076173136e-49,-0.217748908162705,-0.258412451432025,FALSE
"RSV_genus174","Actinophytocola","Actinobacteria",1.90857426287919e-49,4.15724567871936e-49,-0.222114709625012,-0.260845779101044,FALSE
"RSV_genus175","Crossiella","Actinobacteria",5.86079195905064e-49,8.35400921784914e-49,-0.225356821019241,-0.256133943711649,FALSE
"RSV_genus176","Lentzea","Actinobacteria",5.6159737602055e-49,8.0812076173136e-49,-0.225356821019241,-0.259852342928063,FALSE
"RSV_genus178","Prauserella","Actinobacteria",5.6159737602055e-49,8.0812076173136e-49,-0.225356821019241,-0.260845779101044,FALSE
"RSV_genus179","Pseudonocardia","Actinobacteria",1.28366381356826e-49,4.15724567871936e-49,-0.21843737994693,-0.256894076832522,FALSE
"RSV_genus180","Saccharopolyspora","Actinobacteria",1.34150997476704e-48,1.76852066345655e-48,-0.223419366571608,-0.258537842259866,FALSE
"RSV_genus181","Sciscionella","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus183","Kitasatospora","Actinobacteria",4.30640316395862e-50,4.15724567871936e-49,-0.221167697201413,-0.262954846400456,FALSE
"RSV_genus185","Streptacidiphilus","Actinobacteria",5.61308708341333e-49,8.0812076173136e-49,-0.225356821019241,-0.260122191826057,FALSE
"RSV_genus186","Streptomyces","Actinobacteria",1.26584886133241e-49,4.15724567871936e-49,-0.216660306550391,-0.25923320987649,FALSE
"RSV_genus188","Nocardiopsis","Actinobacteria",9.79340343818189e-51,2.49483369284684e-49,-0.216506297636087,-0.262954846400456,FALSE
"RSV_genus190","Actinoallomurus","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus191","Actinomadura","Actinobacteria",1.77537435121286e-49,4.15724567871936e-49,-0.221205782806266,-0.262954846400456,FALSE
"RSV_genus192","Adlercreutzia","Actinobacteria",1.43620945720947e-49,4.15724567871936e-49,-0.22372666374418,-0.262954846400456,FALSE
"RSV_genus193","Atopobium","Actinobacteria",2.63949008731295e-05,2.72126916053098e-05,5.02014121931587,5.25731996651386,FALSE
"RSV_genus194","Collinsella","Actinobacteria",3.07498449217792e-51,1.0232275982592e-49,-0.208344274594954,-0.257897329361234,FALSE
