"OTU","Genus","Phylum","p_value","p_adj_BH","control","Emphysema","in_top_panel"
"RSV_genus1159","Psychromonas","Proteobacteria",6.11079352489537e-06,8.45499025250447e-06,-0.249744719356976,-0.21157767744101,FALSE
"RSV_genus1160","Shewanella","Proteobacteria",7.99262770375493e-06,9.60508808732691e-06,-0.234928345325142,-0.124037754089163,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",4.38753434980196e-17,4.2339706475589e-14,2.4266326870596,0.338793118255562,TRUE
"RSV_genus1163","Cellvibrio","Proteobacteria",5.73267325815828e-06,8.45499025250447e-06,-0.253211644065304,-0.21157767744101,FALSE
"RSV_genus1164","Simiduia","Proteobacteria",6.35349423002067e-06,8.45499025250447e-06,-0.249805863341391,-0.21157767744101,FALSE
"RSV_genus1165","C1-B045","Proteobacteria",6.05044656568677e-06,8.45499025250447e-06,-0.251714603328169,-0.21157767744101,FALSE
"RSV_genus1167","Nitrosococcus","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1168","Rheinheimera","Proteobacteria",3.73340006580015e-06,8.45499025250447e-06,-0.244747283375062,-0.174404498347364,FALSE
"RSV_genus1170","Thiogranum","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1173","Buchnera","Proteobacteria",5.7408271321806e-06,8.45499025250447e-06,-0.25239824558697,-0.21157767744101,FALSE
"RSV_genus1174","Candidatus Blochmannia","Proteobacteria",1.50667399098422e-05,1.68670580197189e-05,-0.204110782659078,-0.160050893941163,FALSE
"RSV_genus1175","Candidatus Carsonella","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1176","Candidatus Nasuia","Proteobacteria",8.02066919630068e-06,9.62679822690318e-06,-0.244577968354571,-0.21157767744101,FALSE
"RSV_genus1177","Cedecea","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1178","Citrobacter","Proteobacteria",7.00865903222819e-06,8.72691092400026e-06,-0.247367980593034,-0.21157767744101,FALSE
"RSV_genus1179","Dickeya","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1180","Erwinia","Proteobacteria",5.72860047927293e-06,8.45499025250447e-06,-0.253002115971749,-0.21157767744101,FALSE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",1.05901169818058e-06,8.36270470769503e-06,0.416824339319275,0.922839118161535,FALSE
"RSV_genus1182","Ewingella","Proteobacteria",7.66220917867327e-07,8.36270470769503e-06,-0.217795903645671,0.0663830927203665,FALSE
