"OTU","Genus","Phylum","p_value","p_adj_BH","Male.58.82cm..Female.58.80cm","Male.83.92cm..Female.81.89cm","Male.93.100cm..Female.90.97cm","Male.101.110cm..Female.98.109cm","Male.111.179cm..Female.110.165cm","in_top_panel"
"RSV_genus135","Rothia","Actinobacteria",0.000104811913432077,0.00459743165736155,8.19929390495015,8.23272141745583,8.28252200873804,8.35042225252824,8.29650246339031,FALSE
"RSV_genus136","Sinomonas","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus137","Zhihengliuella","Actinobacteria",0.708804849961179,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.243758141102405,FALSE
"RSV_genus139","Cellulosimicrobium","Actinobacteria",0.70895573737787,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.243904015263771,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus140","Isoptericola","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus142","Promicromonospora","Actinobacteria",0.671055687179956,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.236207860084211,FALSE
"RSV_genus143","Rarobacter","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus144","Sanguibacter","Actinobacteria",0.709041405804405,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.239666777362434,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus145","Actinoplanes","Actinobacteria",0.722780494622469,0.860791318842843,-0.245660022954849,-0.241535203989285,-0.225724736914867,-0.225542427906688,-0.245378924498612,FALSE
"RSV_genus146","Asanoa","Actinobacteria",0.698117552053765,0.860791318842843,-0.240513275335743,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
