"OTU","Genus","Phylum","p_value","p_adj_BH","Underweight","Healthy.weight","Overweight","Class.1.Obesity","Class.2.3.Obesity","in_top_panel"
"RSV_genus686","Saccharofermentans","Firmicutes",0.338101481138818,0.433040287321931,-0.232423910571503,-0.246046896830965,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.425872830152367,0.453554529258912,-0.159904169540685,-0.157124211314794,-0.135740293791067,-0.164805602163362,-0.166200893087065,FALSE
"RSV_genus688","[Eubacterium] coprostanoligenes group","Firmicutes",0.32023992179202,0.433040287321931,-0.232423910571503,-0.215287481779481,-0.209417751621258,-0.226778347322345,-0.22931133043382,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.417846011828106,0.449522186637817,-0.232423910571503,-0.198073272835337,-0.181045444239342,-0.198819536130723,-0.211982302943062,FALSE
"RSV_genus692","Caldicellulosiruptor","Firmicutes",0.345661719409295,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.247829284856668,-0.245426433226079,FALSE
"RSV_genus693","Thermoanaerobacterium","Firmicutes",0.377354983017767,0.433040287321931,-0.232423910571503,-0.241481389263583,-0.238773187902362,-0.241333619406384,-0.242790892615585,FALSE
"RSV_genus695","Caldanaerobius","Firmicutes",0.336826044928997,0.433040287321931,-0.232423910571503,-0.245373905382004,-0.242530006673874,-0.248994303190356,-0.244352544936615,FALSE
"RSV_genus696","Syntrophaceticus","Firmicutes",0.331402485266215,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus697","Allobaculum","Firmicutes",0.328753054421593,0.433040287321931,-0.232423910571503,-0.247188378120455,-0.244417730086212,-0.248994303190356,-0.244778998975425,FALSE
"RSV_genus698","Bulleidia","Firmicutes",0.0826067187157934,0.433040287321931,1.09001157328371,1.20623499688524,1.34928329399361,1.26985776101567,1.34651132147379,FALSE
"RSV_genus699","Candidatus Stoquefichus","Firmicutes",0.331402485266215,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus700","Catenibacterium","Firmicutes",0.403609399912953,0.438607061842342,-0.221677442655845,-0.229710185415561,-0.234915018950543,-0.239325621353851,-0.246818844238332,FALSE
"RSV_genus701","Coprobacillus","Firmicutes",0.331402485266215,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus702","Dielma","Firmicutes",0.337973779065226,0.433040287321931,-0.232423910571503,-0.243977691449313,-0.237564400351655,-0.247524213729996,-0.246818844238332,FALSE
"RSV_genus703","Eggerthia","Firmicutes",2.48728295973131e-06,0.000400038009356786,0.453198036039623,0.427715387039475,0.600911814823737,0.620245701614244,0.683511854248929,TRUE
"RSV_genus704","Erysipelatoclostridium","Firmicutes",0.400784749525546,0.437684219705072,-0.232423910571503,-0.231442367179981,-0.235674138895379,-0.236082511459328,-0.24176309766474,FALSE
"RSV_genus705","Erysipelothrix","Firmicutes",0.392273315234398,0.436110310139625,-0.232423910571503,-0.220041037982096,-0.221471611744444,-0.235378206428908,-0.23650158753344,FALSE
"RSV_genus706","Erysipelotrichaceae UCG-001","Firmicutes",0.331402485266215,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus707","Erysipelotrichaceae UCG-003","Firmicutes",0.321352515739481,0.433040287321931,-0.191790212780343,-0.18077723409221,-0.18698249052891,-0.195777833707061,-0.211017121581629,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.171438120055876,0.433040287321931,-0.186135059100259,-0.222594139884739,-0.222534752514204,-0.229413403974855,-0.227675102067134,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",0.319370232663004,0.433040287321931,0.473328287726024,0.527538658687052,0.533052630331861,0.582906081309843,0.599287344772824,FALSE
"RSV_genus710","Faecalitalea","Firmicutes",0.322409455398489,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.242050762493848,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus711","Holdemanella","Firmicutes",0.295363665603394,0.433040287321931,-0.219947647684417,-0.229114947746967,-0.231736271064107,-0.240078737627886,-0.241810930780054,FALSE
"RSV_genus712","Holdemania","Firmicutes",0.354159561902509,0.433040287321931,-0.232423910571503,-0.245676808595654,-0.239490438666486,-0.241841348418899,-0.243155508676994,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.339501359310963,0.433040287321931,-0.187659945102166,-0.188133910175708,-0.188161179641723,-0.199857634934716,-0.197143405164956,FALSE
"RSV_genus715","Sharpea","Firmicutes",0.338647722533242,0.433040287321931,-0.232423910571503,-0.246826167254477,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.205744132918114,0.433040287321931,4.23909699171954,4.37567666034563,4.3784146548561,4.50289416364844,4.46707400256637,FALSE
