"VARNAME","Metric","LEVEL","group_mean","group_N"
"PIRcat","Observed_OTUs","1-2",135.444005328597,2324
"PIRcat","Shannon_Diversity","1-2",4.64363710417407,2324
"PIRcat","Inverse_Simpson","1-2",0.900597925666075,2324
"PIRcat","Observed_OTUs","<1",137.106339557099,2363
"PIRcat","Shannon_Diversity","<1",4.67007089393834,2363
"PIRcat","Inverse_Simpson","<1",0.902590114285714,2363
"Household_Size_Factor","Observed_OTUs","2",125.728896103896,2224
"Household_Size_Factor","Shannon_Diversity","2",4.55588778002783,2224
"Household_Size_Factor","Inverse_Simpson","2",0.898914396071429,2224
"Household_Size_Factor","Observed_OTUs","3",130.376050662061,1799
"Household_Size_Factor","Shannon_Diversity","3",4.64165593707542,1799
"Household_Size_Factor","Inverse_Simpson","3",0.903558397443869,1799
"Household_Size_Factor","Observed_OTUs","6",140.734674922601,673
"Household_Size_Factor","Shannon_Diversity","6",4.65251947027864,673
"Household_Size_Factor","Inverse_Simpson","6",0.897814568003096,673
"Household_Size_Factor","Observed_OTUs","4",132.41969151671,2009
"Household_Size_Factor","Shannon_Diversity","4",4.63596389013368,2009
"Household_Size_Factor","Inverse_Simpson","4",0.899297918802057,2009
"Household_Size_Factor","Observed_OTUs","1",123.07983490566,882
"Household_Size_Factor","Shannon_Diversity","1",4.51782067382076,882
"Household_Size_Factor","Inverse_Simpson","1",0.898367072134434,882
"Household_Size_Factor","Observed_OTUs","7+",146.226638772664,733
"Household_Size_Factor","Shannon_Diversity","7+",4.73160216039052,733
"Household_Size_Factor","Inverse_Simpson","7+",0.903419798479777,733
"Household_Size_Factor","Observed_OTUs","5",134.393307692308,1342
"Household_Size_Factor","Shannon_Diversity","5",4.61621617646154,1342
"Household_Size_Factor","Inverse_Simpson","5",0.8968545941,1342
"Marital_Status","Observed_OTUs","Married",128.744102296451,3959
"Marital_Status","Shannon_Diversity","Married",4.5900368035882,3959
"Marital_Status","Inverse_Simpson","Married",0.899921524924322,3959
"Marital_Status","Observed_OTUs","Living with Partner",147.919337016575,748
"Marital_Status","Shannon_Diversity","Living with Partner",4.79293669737569,748
"Marital_Status","Inverse_Simpson","Living with Partner",0.909881812058011,748
"Marital_Status","Observed_OTUs","Never Married",136.767628749293,1830
"Marital_Status","Shannon_Diversity","Never Married",4.67320465336729,1830
"Marital_Status","Inverse_Simpson","Never Married",0.900793090758347,1830
"Marital_Status","Observed_OTUs","Widowed",119.215748031496,268
"Marital_Status","Shannon_Diversity","Widowed",4.51406882125984,268
"Marital_Status","Inverse_Simpson","Widowed",0.901817357007874,268
"Marital_Status","Observed_OTUs","Divorced",127.157476635514,885
"Marital_Status","Shannon_Diversity","Divorced",4.52021911156542,885
"Marital_Status","Inverse_Simpson","Divorced",0.896803221366822,885
"Marital_Status","Observed_OTUs","Separated",142.413666666667,309
"Marital_Status","Shannon_Diversity","Separated",4.762740607,309
"Marital_Status","Inverse_Simpson","Separated",0.910649381566667,309
"Interview_Language","Observed_OTUs","English",129.452886521308,8356
"Interview_Language","Shannon_Diversity","English",4.59011864436942,8356
"Interview_Language","Inverse_Simpson","English",0.89848210163776,8356
"Interview_Language","Observed_OTUs","Spanish",144.862490211433,1306
"Interview_Language","Shannon_Diversity","Spanish",4.76181814643696,1306
"Interview_Language","Inverse_Simpson","Spanish",0.908060891057165,1306
"Interview_Proxy","Observed_OTUs","No",132.165864781667,9070
"Interview_Proxy","Shannon_Diversity","No",4.61965373248774,9070
"Interview_Proxy","Inverse_Simpson","No",0.900525439825562,9070
"Interview_Proxy","Observed_OTUs","Yes",122.329238754325,592
"Interview_Proxy","Shannon_Diversity","Yes",4.52127436453287,592
"Interview_Proxy","Inverse_Simpson","Yes",0.888637802058823,592
"Interview_Interpreter","Observed_OTUs","No",131.403299714975,9425
"Interview_Interpreter","Shannon_Diversity","No",4.61111154226595,9425
"Interview_Interpreter","Inverse_Simpson","No",0.899623013990353,9425
"Interview_Interpreter","Observed_OTUs","Yes",137.762995594714,237
"Interview_Interpreter","Shannon_Diversity","Yes",4.71242282731278,237
"Interview_Interpreter","Inverse_Simpson","Yes",0.90652047876652,237
"HH_Reference_Gender","Observed_OTUs","Male",132.41793971924,5019
"HH_Reference_Gender","Shannon_Diversity","Male",4.62183288953551,5019
"HH_Reference_Gender","Inverse_Simpson","Male",0.900135486436829,5019
"HH_Reference_Gender","Observed_OTUs","Female",130.632763596004,4643
"HH_Reference_Gender","Shannon_Diversity","Female",4.60468833594673,4643
"HH_Reference_Gender","Inverse_Simpson","Female",0.899419530743618,4643
"HH_Reference_Education_Level","Observed_OTUs","High School Graduate/GED",135.41582733813,2008
"HH_Reference_Education_Level","Shannon_Diversity","High School Graduate/GED",4.64947097564234,2008
"HH_Reference_Education_Level","Inverse_Simpson","High School Graduate/GED",0.901473488252826,2008
"HH_Reference_Education_Level","Observed_OTUs","9-11th Grade",138.925,1434
"HH_Reference_Education_Level","Shannon_Diversity","9-11th Grade",4.63741248012931,1434
"HH_Reference_Education_Level","Inverse_Simpson","9-11th Grade",0.899382300797414,1434
"HH_Reference_Education_Level","Observed_OTUs","Some College or AA Degree",129.61239072596,2725
"HH_Reference_Education_Level","Shannon_Diversity","Some College or AA Degree",4.60560833352718,2725
"HH_Reference_Education_Level","Inverse_Simpson","Some College or AA Degree",0.899791940703155,2725
"HH_Reference_Education_Level","Observed_OTUs","Less Than 9th Grade",138.392604166667,986
"HH_Reference_Education_Level","Shannon_Diversity","Less Than 9th Grade",4.70076511614583,986
"HH_Reference_Education_Level","Inverse_Simpson","Less Than 9th Grade",0.905471649770833,986
"HH_Reference_Education_Level","Observed_OTUs","College Graduate or Above",121.950597228858,2172
"HH_Reference_Education_Level","Shannon_Diversity","College Graduate or Above",4.53849501567128,2172
"HH_Reference_Education_Level","Inverse_Simpson","College Graduate or Above",0.896991598198758,2172
"HH_Reference_Marital_Status","Observed_OTUs","Married",128.783813747228,5130
"HH_Reference_Marital_Status","Shannon_Diversity","Married",4.59271949688571,5130
"HH_Reference_Marital_Status","Inverse_Simpson","Married",0.898861123983068,5130
"HH_Reference_Marital_Status","Observed_OTUs","Living with Partner",145.036167664671,861
"HH_Reference_Marital_Status","Shannon_Diversity","Living with Partner",4.74368661173653,861
"HH_Reference_Marital_Status","Inverse_Simpson","Living with Partner",0.905359690562874,861
"HH_Reference_Marital_Status","Observed_OTUs","Divorced",128.206412825651,1026
"HH_Reference_Marital_Status","Shannon_Diversity","Divorced",4.53219876603206,1026
"HH_Reference_Marital_Status","Inverse_Simpson","Divorced",0.896037684418838,1026
"HH_Reference_Marital_Status","Observed_OTUs","Widowed",127.218362282878,421
"HH_Reference_Marital_Status","Shannon_Diversity","Widowed",4.57571399255583,421
"HH_Reference_Marital_Status","Inverse_Simpson","Widowed",0.901754642307692,421
"HH_Reference_Marital_Status","Observed_OTUs","Separated",139.591624365482,410
"HH_Reference_Marital_Status","Shannon_Diversity","Separated",4.7459162571066,410
"HH_Reference_Marital_Status","Inverse_Simpson","Separated",0.910751317918782,410
"HH_Reference_Marital_Status","Observed_OTUs","Never Married",134.699102564103,1611
"HH_Reference_Marital_Status","Shannon_Diversity","Never Married",4.6416515675641,1611
"HH_Reference_Marital_Status","Inverse_Simpson","Never Married",0.898995981044872,1611
"Annual_Household_Income","Observed_OTUs","$100,000 and Over",122.503295225286,1544
"Annual_Household_Income","Shannon_Diversity","$100,000 and Over",4.53476817706792,1544
"Annual_Household_Income","Inverse_Simpson","$100,000 and Over",0.896739272030935,1544
"Annual_Household_Income","Observed_OTUs","$75,000 to $99,999",126.109483793517,863
"Annual_Household_Income","Shannon_Diversity","$75,000 to $99,999",4.55989503770708,863
"Annual_Household_Income","Inverse_Simpson","$75,000 to $99,999",0.89622494122449,863
"Annual_Household_Income","Observed_OTUs","$35,000 to $44,999",135.117710843373,849
"Annual_Household_Income","Shannon_Diversity","$35,000 to $44,999",4.64466610289157,849
"Annual_Household_Income","Inverse_Simpson","$35,000 to $44,999",0.901110337795181,849
"Annual_Household_Income","Observed_OTUs","$25,000 to $34,999",137.249181818182,1139
"Annual_Household_Income","Shannon_Diversity","$25,000 to $34,999",4.676236596,1139
"Annual_Household_Income","Inverse_Simpson","$25,000 to $34,999",0.902568116836364,1139
"Annual_Household_Income","Observed_OTUs","$65,000 to $74,999",130.13919239905,436
"Annual_Household_Income","Shannon_Diversity","$65,000 to $74,999",4.61654306270784,436
"Annual_Household_Income","Inverse_Simpson","$65,000 to $74,999",0.896283308147268,436
"Annual_Household_Income","Observed_OTUs","$20,000 to $24,999",135.594786096257,770
"Annual_Household_Income","Shannon_Diversity","$20,000 to $24,999",4.64191393836898,770
"Annual_Household_Income","Inverse_Simpson","$20,000 to $24,999",0.900660589451872,770
"Annual_Household_Income","Observed_OTUs","$5,000 to $9,999",131.339948453608,397
"Annual_Household_Income","Shannon_Diversity","$5,000 to $9,999",4.62687523737113,397
"Annual_Household_Income","Inverse_Simpson","$5,000 to $9,999",0.902014765876289,397
"Annual_Household_Income","Observed_OTUs","$20,000 and Over",132.501842105263,391
"Annual_Household_Income","Shannon_Diversity","$20,000 and Over",4.61555683526316,391
"Annual_Household_Income","Inverse_Simpson","$20,000 and Over",0.899495140842105,391
"Annual_Household_Income","Observed_OTUs","$10,000 to $14,999",131.561163522013,659
