"VARNAME","Metric","LEVEL","group_mean","group_N","REF_LEVEL","group_mean-REF_group_mean","wilcox_effsize","wilcox_p_val","wilcox_p_FDR"
"Household_size","Beta Diversity ( Braycurtis )","7+",0.5203627404689,717,"4",-0.008401852874801,-0.336656786266224,0.00618546768184807,0.0092782015227721
"Household_size","Beta Diversity ( Braycurtis )","5",0.530410624859359,1300,"4",0.00164603151565856,-0.564237922176757,0.846628218324738,0.846628218324738
"Household_size","Beta Diversity ( Unwunifrac )","2",0.452090585785796,2156,"4",0.0143136302062924,-0.805905399859607,1.06087358551424e-22,3.18262075654273e-22
"Household_size","Beta Diversity ( Unwunifrac )","3",0.442526037754295,1737,"4",0.00474908217479136,-0.709216010479246,0.000122521850203963,0.000183782775305945
"Household_size","Beta Diversity ( Unwunifrac )","6",0.430731607155677,646,"4",-0.00704534842382604,-0.333059520226812,1.97295550514715e-05,3.9459110102943e-05
"Household_size","Beta Diversity ( Unwunifrac )","4",0.437776955579503,1945,"4",0,NA,NA,NA
"Household_size","Beta Diversity ( Unwunifrac )","1",0.471739616629194,848,"4",0.0339626610496903,-0.0439325161083615,5.94954889664989e-58,3.56972933798994e-57
"Household_size","Beta Diversity ( Unwunifrac )","7+",0.430413434361438,717,"4",-0.00736352121806549,-0.351431205267751,0.000465146642084132,0.000558175970500958
"Household_size","Beta Diversity ( Unwunifrac )","5",0.437436906117245,1300,"4",-0.000340049462257963,-0.580274506197672,0.471486916276284,0.471486916276284
"Household_size","Beta Diversity ( Wunifrac )","2",0.280623021447877,2156,"4",0.00400931358233569,-0.90211634486401,0.000267656222961833,0.00040148433444275
"Household_size","Beta Diversity ( Wunifrac )","3",0.283995674987809,1737,"4",0.0073819671222683,-0.673852641160731,2.13936509482425e-09,1.28361905689455e-08
"Household_size","Beta Diversity ( Wunifrac )","6",0.279405264569419,646,"4",0.00279155670387837,-0.223221858675422,0.185851456902084,0.185851456902084
"Household_size","Beta Diversity ( Wunifrac )","4",0.276613707865541,1945,"4",0,NA,NA,NA
"Household_size","Beta Diversity ( Wunifrac )","1",0.283954127071924,848,"4",0.00734041920638312,-0.256150544040321,1.35139819443534e-06,3.30180099242586e-06
"Household_size","Beta Diversity ( Wunifrac )","7+",0.279651081362926,717,"4",0.00303737349738487,-0.237584446230855,0.0176082671540469,0.0211299205848563
"Household_size","Beta Diversity ( Wunifrac )","5",0.285681838016505,1300,"4",0.00906813015096392,-0.483510626799445,1.65090049621293e-06,3.30180099242586e-06
"Marital_status","Beta Diversity ( Braycurtis )","Married",0.539551813521056,3832,"Married",0,NA,NA,NA
"Marital_status","Beta Diversity ( Braycurtis )","Living with Partner",0.542408868052849,724,"Married",0.0028570545317933,-0.106601340988848,0.373329091136519,0.461601272678655
"Marital_status","Beta Diversity ( Braycurtis )","Never Married",0.53778480561906,1767,"Married",-0.00176700790199602,-0.381202509708567,0.461601272678655,0.461601272678655
"Marital_status","Beta Diversity ( Braycurtis )","Widowed",0.556660741962591,254,"Married",0.0171089284415348,0.0507976872499689,5.01460752014547e-07,1.25365188003637e-06
"Marital_status","Beta Diversity ( Braycurtis )","Divorced",0.550319694212166,856,"Married",0.0107678806911101,-0.0737247469413785,2.0204412641533e-07,1.01022063207665e-06
"Marital_status","Beta Diversity ( Braycurtis )","Separated",0.540836530657748,300,"Married",0.0012847171366922,-0.0120618525903104,0.135261346302975,0.225435577171625
"Marital_status","Beta Diversity ( Unwunifrac )","Married",0.444694757343257,3832,"Married",0,NA,NA,NA
"Marital_status","Beta Diversity ( Unwunifrac )","Living with Partner",0.442592886816736,724,"Married",-0.0021018705265215,-0.148400123294088,0.0534762756906605,0.0668453446133257
"Marital_status","Beta Diversity ( Unwunifrac )","Never Married",0.446114796300047,1767,"Married",0.00142003895678994,-0.356931894085132,0.280207237420289,0.280207237420289
"Marital_status","Beta Diversity ( Unwunifrac )","Widowed",0.478435428272541,254,"Married",0.0337406709292832,0.123562452852994,3.77598104645456e-22,9.43995261613639e-22
"Marital_status","Beta Diversity ( Unwunifrac )","Divorced",0.4659252472273,856,"Married",0.0212304898840422,0.023125060895966,2.77557822288896e-32,1.38778911144448e-31
"Marital_status","Beta Diversity ( Unwunifrac )","Separated",0.449249087869654,300,"Married",0.00455433052639709,0.000361980668221009,0.021889261664451,0.036482102774085
"Marital_status","Beta Diversity ( Wunifrac )","Married",0.283528512311466,3832,"Married",0,NA,NA,NA
"Marital_status","Beta Diversity ( Wunifrac )","Living with Partner",0.286891663716134,724,"Married",0.00336315140466864,-0.104275813882203,0.294996480369754,0.491660800616257
"Marital_status","Beta Diversity ( Wunifrac )","Never Married",0.283206366767356,1767,"Married",-0.000322145544109587,-0.370560355789343,0.952088501165383,0.952088501165383
"Marital_status","Beta Diversity ( Wunifrac )","Widowed",0.28834755032355,254,"Married",0.00481903801208466,0.00860690854504293,0.0198674683811832,0.0609120600518557
"Marital_status","Beta Diversity ( Wunifrac )","Divorced",0.287111029071908,856,"Married",0.00358251676044213,-0.116753286580831,0.0243648240207423,0.0609120600518557
"Marital_status","Beta Diversity ( Wunifrac )","Separated",0.282148468164147,300,"Married",-0.00138004414731863,-0.0317503173156013,0.819580096642049,0.952088501165383
"Interview_language","Beta Diversity ( Braycurtis )","English",0.538230621283065,8072,"English",0,NA,NA,NA
"Interview_language","Beta Diversity ( Braycurtis )","Spanish",0.517682548243213,1277,"English",-0.0205480730398522,-0.228663422823026,1.15667422101483e-38,1.15667422101483e-38
"Interview_language","Beta Diversity ( Unwunifrac )","English",0.446874073149421,8072,"English",0,NA,NA,NA
"Interview_language","Beta Diversity ( Unwunifrac )","Spanish",0.426342875786234,1277,"English",-0.0205311973631874,-0.258297006294317,1.02946333653258e-56,1.02946333653258e-56
"Interview_language","Beta Diversity ( Wunifrac )","English",0.281582724910478,8072,"English",0,NA,NA,NA
"Interview_language","Beta Diversity ( Wunifrac )","Spanish",0.277994178003103,1277,"English",-0.00358854690737498,-0.126501971549601,0.0017703496315474,0.0017703496315474
"Income_to_poverty_ratio","Beta Diversity ( Braycurtis )","200% and Over",0.530544817105698,4018,"150-184%",-0.00757962807271406,-1,0.000345277214356034,0.00207166328613621
"Income_to_poverty_ratio","Beta Diversity ( Braycurtis )","100-124%",0.540263563989279,809,"150-184%",0.00213911881086692,-1,0.456720860082471,0.456720860082471
"Income_to_poverty_ratio","Beta Diversity ( Braycurtis )","Below 50%",0.537477512128797,805,"150-184%",-0.00064693304961505,-1,0.254450143419338,0.319509356417778
"Income_to_poverty_ratio","Beta Diversity ( Braycurtis )","50-99%",0.543491265218465,1498,"150-184%",0.00536682004005329,-1,0.122345390306171,0.244690780612342
"Income_to_poverty_ratio","Beta Diversity ( Braycurtis )","185-199%",0.535458743751358,215,"150-184%",-0.00266570142705369,-0.320790216701764,0.266257797014815,0.319509356417778
"Income_to_poverty_ratio","Beta Diversity ( Braycurtis )","125-149%",0.548316890160407,640,"150-184%",0.0101924449819948,-0.874531002302203,0.0166574915005808,0.0499724745017424
"Income_to_poverty_ratio","Beta Diversity ( Braycurtis )","150-184%",0.538124445178412,588,"150-184%",0,NA,NA,NA
"Income_to_poverty_ratio","Beta Diversity ( Unwunifrac )","200% and Over",0.439085494649063,4018,"150-184%",-0.00310318909428209,-1,0.0424851832105331,0.0637277748157997
"Income_to_poverty_ratio","Beta Diversity ( Unwunifrac )","100-124%",0.453538844522724,809,"150-184%",0.0113501607793789,-1,1.50156022323796e-05,9.00936133942779e-05
"Income_to_poverty_ratio","Beta Diversity ( Unwunifrac )","Below 50%",0.443525102482599,805,"150-184%",0.00133641873925439,-1,0.506021086667997,0.607225304001596
"Income_to_poverty_ratio","Beta Diversity ( Unwunifrac )","50-99%",0.451451694208099,1498,"150-184%",0.00926301046475431,-1,7.01180946938772e-05,0.000210354284081632
"Income_to_poverty_ratio","Beta Diversity ( Unwunifrac )","185-199%",0.443454355353358,215,"150-184%",0.00126567161001295,-0.298236928106917,0.63648182258262,0.63648182258262
"Income_to_poverty_ratio","Beta Diversity ( Unwunifrac )","125-149%",0.454999358490742,640,"150-184%",0.0128106747473973,-0.846032073415473,0.000691657383021412,0.00138331476604282
"Income_to_poverty_ratio","Beta Diversity ( Unwunifrac )","150-184%",0.442188683743345,588,"150-184%",0,NA,NA,NA
"Income_to_poverty_ratio","Beta Diversity ( Wunifrac )","200% and Over",0.277885802790533,4018,"150-184%",-0.00499419535770762,-1,0.00479517387463282,0.0124731367888726
"Income_to_poverty_ratio","Beta Diversity ( Wunifrac )","100-124%",0.288122959148083,809,"150-184%",0.00524296099984323,-1,0.00831542452591506,0.0124731367888726
"Income_to_poverty_ratio","Beta Diversity ( Wunifrac )","Below 50%",0.283697870788214,805,"150-184%",0.000817872639974015,-1,0.727234253848175,0.727234253848175
"Income_to_poverty_ratio","Beta Diversity ( Wunifrac )","50-99%",0.287696364867257,1498,"150-184%",0.0048163667190172,-1,0.00775485277780798,0.0124731367888726
"Income_to_poverty_ratio","Beta Diversity ( Wunifrac )","185-199%",0.285411205925581,215,"150-184%",0.00253120777734117,-0.265510408796437,0.649531869113071,0.727234253848175
"Income_to_poverty_ratio","Beta Diversity ( Wunifrac )","125-149%",0.293475417238278,640,"150-184%",0.0105954190900374,-0.838300589804589,0.000248502804640133,0.0014910168278408
"Income_to_poverty_ratio","Beta Diversity ( Wunifrac )","150-184%",0.28287999814824,588,"150-184%",0,NA,NA,NA
"Denture","Beta Diversity ( Braycurtis )","control",0.520087318491702,3770,"control",0,NA,NA,NA
"Denture","Beta Diversity ( Braycurtis )","Denture",0.558162495662233,456,"control",0.0380751771705303,0.136731001483952,2.43897577969264e-39,2.43897577969264e-39
"Denture","Beta Diversity ( Unwunifrac )","control",0.43440424559726,3770,"control",0,NA,NA,NA
"Denture","Beta Diversity ( Unwunifrac )","Denture",0.481965224825458,456,"control",0.0475609792281975,0.212413105756607,9.00746974581976e-73,9.00746974581976e-73
"Denture","Beta Diversity ( Wunifrac )","control",0.276581456265061,3770,"control",0,NA,NA,NA
"Denture","Beta Diversity ( Wunifrac )","Denture",0.289483202412435,456,"control",0.0129017461473739,0.0391937908300255,1.18451194457541e-11,1.18451194457541e-11
"Gum_disease","Beta Diversity ( Braycurtis )","control",0.520087318491702,3770,"control",0,NA,NA,NA
"Gum_disease","Beta Diversity ( Braycurtis )","Gum disease",0.542393561841432,2518,"control",0.02230624334973,-0.34398104661481,5.34270866039147e-70,5.34270866039147e-70
"Gum_disease","Beta Diversity ( Unwunifrac )","control",0.43440424559726,3770,"control",0,NA,NA,NA
"Gum_disease","Beta Diversity ( Unwunifrac )","Gum disease",0.43443306404393,2518,"control",2.88184466696317e-05,-0.52732290459017,0.00164444592743227,0.00164444592743227
"Gum_disease","Beta Diversity ( Wunifrac )","control",0.276581456265061,3770,"control",0,NA,NA,NA
"Gum_disease","Beta Diversity ( Wunifrac )","Gum disease",0.280418627248832,2518,"control",0.0038371709837709,-0.499953796948186,1.04803659176498e-07,1.04803659176498e-07
"Oral_hygiene","Beta Diversity ( Braycurtis )","control",0.520087318491702,3770,"control",0,NA,NA,NA
"Oral_hygiene","Beta Diversity ( Braycurtis )","Poor oral hygiene",0.542947726593078,2752,"control",0.022860408101376,-0.412280740543546,6.5995457889631e-66,6.5995457889631e-66
"Oral_hygiene","Beta Diversity ( Unwunifrac )","control",0.43440424559726,3770,"control",0,NA,NA,NA
"Oral_hygiene","Beta Diversity ( Unwunifrac )","Poor oral hygiene",0.436797236409817,2752,"control",0.00239299081255623,-0.568365182668075,5.57346253807525e-06,5.57346253807525e-06
"Oral_hygiene","Beta Diversity ( Wunifrac )","control",0.276581456265061,3770,"control",0,NA,NA,NA
"Oral_hygiene","Beta Diversity ( Wunifrac )","Poor oral hygiene",0.282466455884149,2752,"control",0.00588499961908845,-0.547067127678207,3.80159466809991e-10,3.80159466809991e-10
"Tooth_decay","Beta Diversity ( Braycurtis )","control",0.520087318491702,3770,"control",0,NA,NA,NA
"Tooth_decay","Beta Diversity ( Braycurtis )","Tooth decay",0.542096309884843,2319,"control",0.0220089913931407,-0.313008987497115,2.41869776744226e-57,2.41869776744226e-57
"Tooth_decay","Beta Diversity ( Unwunifrac )","control",0.43440424559726,3770,"control",0,NA,NA,NA
"Tooth_decay","Beta Diversity ( Unwunifrac )","Tooth decay",0.439482850357661,2319,"control",0.00507860476040062,-0.419648831016421,2.19090641810593e-14,2.19090641810593e-14
"Tooth_decay","Beta Diversity ( Wunifrac )","control",0.276581456265061,3770,"control",0,NA,NA,NA
"Tooth_decay","Beta Diversity ( Wunifrac )","Tooth decay",0.280641188471609,2319,"control",0.00405973220654787,-0.453578002511854,5.99636178306485e-07,5.99636178306485e-07
"Smoking_status","Beta Diversity ( Braycurtis )","Current smoker",0.54566397421233,1518,"Never smoker",0.0219283393419537,-0.0944520800428676,4.85832636951557e-38,4.85832636951557e-38
"Smoking_status","Beta Diversity ( Braycurtis )","Never smoker",0.523735634870377,4384,"Never smoker",0,NA,NA,NA
"Smoking_status","Beta Diversity ( Braycurtis )","Former smoker",0.556288054824839,1832,"Never smoker",0.0325524199544618,-0.0836743160454211,4.12850770143512e-84,8.25701540287024e-84
"Smoking_status","Beta Diversity ( Unwunifrac )","Current smoker",0.456650507128782,1518,"Never smoker",0.0238433225261754,-0.0497301444529269,6.0532658088053e-60,6.0532658088053e-60
"Smoking_status","Beta Diversity ( Unwunifrac )","Never smoker",0.432807184602607,4384,"Never smoker",0,NA,NA,NA
"Smoking_status","Beta Diversity ( Unwunifrac )","Former smoker",0.470481258990902,1832,"Never smoker",0.0376740743882955,-0.00356920228144258,3.41610935977716e-146,6.83221871955431e-146
"Smoking_status","Beta Diversity ( Wunifrac )","Current smoker",0.286780890407711,1518,"Never smoker",0.0102836251625879,-0.159378386902082,2.6540382318513e-15,2.6540382318513e-15
"Smoking_status","Beta Diversity ( Wunifrac )","Never smoker",0.276497265245123,4384,"Never smoker",0,NA,NA,NA
"Smoking_status","Beta Diversity ( Wunifrac )","Former smoker",0.287441634876848,1832,"Never smoker",0.0109443696317246,-0.219938523220749,3.66151535354796e-18,7.32303070709591e-18
"Hepatitis_C_antibody","Beta Diversity ( Braycurtis )","Negative",0.534941147119035,8645,"Negative",0,NA,NA,NA
"Hepatitis_C_antibody","Beta Diversity ( Braycurtis )","Positive",0.561391187007404,159,"Negative",0.0264500398883694,0.0594282267676668,2.27786616039938e-09,2.27786616039938e-09
"Hepatitis_C_antibody","Beta Diversity ( Unwunifrac )","Negative",0.443365656667099,8645,"Negative",0,NA,NA,NA
