"OTU","Genus","Phylum","p_value","p_adj_BH","control","Gum.disease","in_top_panel"
"RSV_genus1018","Pelomonas","Proteobacteria",0.132202828775351,0.181644537097841,0.000492537334100057,0.000326195579322638,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.32280260376417,0.381493986266746,8.19653076480736e-06,9.53024509803921e-06,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.197981309745584,0.255411002648884,4.60599815986199e-05,3.39120855614973e-06,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.000546668238146124,0.000993407873620376,8.63371414606095e-05,6.89584714795009e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.948649895065663,0.950695401433124,1.15619718228867e-05,4.24320231729055e-06,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",3.15650923300203e-06,7.01907974180714e-06,0.000156128761932145,0.000205305557040998,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.000245807324173492,0.000461571530948002,0.000667661495687177,0.000514178758467023,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",6.88637745855643e-06,1.47316176012157e-05,0.0281957315756182,0.0254779188101604,TRUE
"RSV_genus1064","Simonsiella","Proteobacteria",5.14627555097187e-05,0.00010232006683697,7.36375664174813e-05,3.33734893048128e-05,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.645207311509942,0.703484100936647,0.00023224350546291,6.20290811051693e-05,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.466549473342405,0.525645739965777,2.67045255894192e-06,2.73027272727273e-06,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.314346694073092,0.374116840129243,7.31458941920644e-06,5.99230837789661e-06,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",4.10042954174635e-132,1.15495432092522e-130,2.93138953421506e-05,0.000248561183600713,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",7.60527769085937e-43,4.28430643251745e-42,1.32617147786084e-05,0.000107125397504456,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.0108225272378246,0.0170935243289005,1.02342794709603e-05,3.32132602495544e-05,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",8.31883483894792e-54,6.11253516427043e-53,7.65892926969523e-06,4.82186809269162e-05,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",2.90817558134576e-27,1.11700380283508e-26,0.0041552433548016,0.00575554917112299,TRUE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",9.30254584542596e-15,2.85841863250361e-14,1.05138872915469e-06,2.46633262032086e-05,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",1.43821188279418e-33,6.56912995114101e-33,3.23192754456584e-06,3.44839340463458e-05,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",0.00609564421042751,0.0100015909860413,0.000553268848188614,0.000436219795008913,FALSE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.000797180824718581,0.00143322935507915,0.00136681951006326,0.000363789098930481,TRUE
"RSV_genus1188","Pantoea","Proteobacteria",0.274273059628743,0.333468684009047,2.25001518113859e-05,0.000414150179144385,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.000376458273167786,0.000691537480058215,0.000144812495687177,0.000128645193404635,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",7.77360075132599e-10,1.93196842202072e-09,0.00591962716388728,0.00424251360249555,TRUE
"RSV_genus1229","Aggregatibacter","Proteobacteria",2.06143195525901e-14,6.22110715069236e-14,0.00409442803392755,0.00758262701604278,TRUE
"RSV_genus1233","Haemophilus","Proteobacteria",3.81060487886663e-14,1.11033142160079e-13,0.0604804830661299,0.0493737912263814,TRUE
"RSV_genus1234","Mannheimia","Proteobacteria",2.4290132989009e-14,7.20181135989916e-14,0.00158433579413456,0.000967481744206773,FALSE
"RSV_genus1238","Acinetobacter","Proteobacteria",3.96091241136606e-05,8.06499033157668e-05,0.00157428155664175,0.000314820795900178,TRUE
"RSV_genus1241","Moraxella","Proteobacteria",0.950695401433124,0.950695401433124,0.0003804933640023,0.000213476307486631,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",0.024338318584854,0.0363997862021268,0.000201279817136285,6.74106773618538e-06,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",0.000151991161209289,0.000288612429712021,0.00101487646866015,0.00054686104456328,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.219347463268557,0.280831221912016,4.02729459459459e-05,2.00032780748663e-05,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.00413654854746245,0.00706138085374902,0.000291133986774008,0.000568620626559715,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.345690094989713,0.402907765884563,5.6651062679701e-05,1.37717459893048e-05,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.194819737277886,0.253265658461252,3.10263059229442e-05,3.6216606060606e-05,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",9.09455106814596e-153,7.68489565258334e-151,0.00175020814893617,0.0083849294893048,TRUE
"RSV_genus1309","Fretibacterium","Synergistetes",1.51825082967554e-156,2.56584390215166e-154,0.000182396286371478,0.00110009312745098,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",2.76794029119951e-47,1.67064967575971e-46,7.24627947096032e-06,3.23358627450981e-05,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",5.72928589748371e-54,4.40113325761249e-53,3.46086164462335e-05,0.000560012717468806,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",7.36980729069023e-110,1.38388603569628e-108,0.00028750595399655,0.00127940031818182,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.0110099246493657,0.0172284932013222,3.46701265094882e-06,2.81722727272727e-06,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.699078246093817,0.738401397436594,9.14789413456009e-05,0.000122682093582888,FALSE
