"OTU","Genus","Phylum","p_value","p_adj_BH","Underweight","Healthy.weight","Overweight","Class.1.Obesity","Class.2.3.Obesity","in_top_panel"
"RSV_genus203","Senegalimassilia","Actinobacteria",0.0166697721355767,0.0574937038961727,5.74481395348837e-06,1.87928100775194e-06,9.55819324950364e-07,5.33938559322034e-07,4.32824652338812e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.0109937024607024,0.0453155052648466,4.40389147286822e-06,7.66948255813953e-06,7.98394639311714e-06,9.52409639830509e-06,1.11078027812895e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.242848585823408,0.383564588823887,0.000293084465116279,0.0012399430129199,0.00199307639841165,0.00157767959957627,0.00169154350442478,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",2.65557274371661e-15,4.48791793688108e-13,2.48841007751938e-05,9.54522416020672e-05,0.00011593480741231,0.000113046820974576,0.000108949474083439,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.0617474750516951,0.149076046910521,6.59093798449612e-06,9.47991427648579e-05,0.000139932808074123,8.80309449152542e-05,0.000164545781289507,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",3.80867466538775e-06,7.15184464945034e-05,2.48210852713178e-06,1.93481169250646e-05,3.53103759099934e-05,3.18468792372881e-05,2.11223034134008e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.680600499780263,0.742074093308803,0.000127583085271318,5.96446711886305e-05,8.8329357379219e-05,0.000123541041313559,5.03899987357775e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.337627971379769,0.496719534680918,0.0201651074496124,0.0172975131001292,0.0186227845499669,0.0186085782817796,0.019614997505689,FALSE
"RSV_genus255","Tannerella","Bacteroidetes",0.0115414092372395,0.0464404324069876,0.000621875465116279,0.000982071578811369,0.00111448472799471,0.00105837367902542,0.00115456160935525,TRUE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.161725511516335,0.278893994349598,0.0268938827054264,0.0244867362435401,0.0226897631224355,0.0223464787711865,0.022877357068268,FALSE
"RSV_genus259","Prevotella","Bacteroidetes",0.0512087650544316,0.129168377525357,0.0230141834341085,0.0246476394341085,0.0259437995109199,0.0262142146440678,0.0260014890543616,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.160760853383871,0.278893994349598,0.0015864623875969,0.00162428330103359,0.00166021713898081,0.0025994354756356,0.0015877607471555,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.300054831485274,0.465222628633132,0.0053921522868217,0.00587370510142118,0.00569792263467902,0.00567162133686442,0.00546652934639697,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.00960044697266599,0.0417949945887911,0.0729153410465116,0.0752870757422481,0.078271665698875,0.0830752281705508,0.0826895240556258,TRUE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.11884996530096,0.239114811141217,8.91594573643411e-06,0.000275005496124031,8.7986176042356e-05,0.000233432875,0.000423067467762326,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.217580674989494,0.357001301681791,8.45736434108527e-07,7.41652409560724e-05,0.000156216041694242,7.95227711864407e-05,7.99918697850822e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.499565843133553,0.603047339211217,8.33851162790698e-06,2.55852222222222e-05,2.3557481138319e-05,2.32179809322034e-05,3.9667603034134e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",0.000314037261056754,0.00279327879571534,0.00809975390697674,0.00599098686821706,0.00528992974917274,0.0040147898898305,0.00408418022882427,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.00178314373862087,0.00972100941377186,0.00305805225581395,0.00315429137209302,0.00310945119523495,0.00264462085381356,0.00312220598103666,TRUE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.652731935854496,0.720596313222627,5.50358139534884e-06,4.25676485788114e-06,1.56517054930509e-05,5.76457627118644e-06,2.2121585335019e-05,FALSE
