"OTU","Genus","Phylum","p_value","p_adj_BH","control","Breast.cancer","in_top_panel"
"RSV_genus264","Prevotella 9","Bacteroidetes",0.842375077907483,0.952770488915509,0.000210420472363636,2.76697878787879e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.900480542939482,0.952770488915509,0.000133819138909091,6.45627272727273e-06,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.874384550368945,0.952770488915509,2.83582345454545e-05,3.92398484848485e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",0.000132250657386133,0.0223503610982565,0.00472671352727272,0.00111886566666667,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.14661715728836,0.527197863441126,0.00313383203781819,0.00236889224242424,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.902610041861442,0.952770488915509,1.53993483636364e-05,3.7820303030303e-06,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.958585520310466,0.970065586421968,0.00128637445490909,0.009900408,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.480202644799933,0.787905312702162,7.19863090909091e-06,0,FALSE
"RSV_genus475","Gemella","Firmicutes",0.018953814570154,0.246399589412002,0.0474360664145454,0.0335504012727273,FALSE
"RSV_genus494","Staphylococcus","Firmicutes",0.0153796176453456,0.216658976890858,0.000291499650909091,0.000282974666666667,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",0.1650422200074,0.557842703625011,0.00151395832145455,0.000910244545454545,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.553665689564585,0.854841312064132,3.40007927272727e-06,0,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.0697390782405547,0.380190458795282,0.0226921214825455,0.016995852,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",0.794487554605182,0.932882917241449,0.00465615702872727,0.00285526248484849,FALSE
"RSV_genus523","Leuconostoc","Firmicutes",0.0083024668798421,0.140311690269332,3.07296261818182e-05,5.06993939393939e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.32627830107042,0.719679584027052,0.000125008264,3.20018181818182e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.0892095454169505,0.454545052041911,0.000145915523636364,0.00103330742424242,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.9093388058345,0.952770488915509,0.314954038696,0.323784067939394,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.11817562591061,0.487114165338857,2.61234563636364e-05,0,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.527164845549818,0.833395118691841,5.93250654545454e-06,0,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",0.0204389501856842,0.246727327241473,0.000291873706545454,0.000321643363636364,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",0.7936035088675,0.932882917241449,9.77305585454545e-05,8.41939393939394e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.610873302918735,0.894741742263759,4.62562189090909e-05,3.73915757575758e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",0.425331518984784,0.773497773590198,3.32202716363637e-05,5.04634242424242e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.278131412903991,0.719679584027052,4.25314323636364e-05,4.42491212121212e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.222287137818695,0.670830826631418,2.91351349090909e-05,0,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.12454535035046,0.501146766886373,0.00488086447418182,0.00481467839393939,FALSE
"RSV_genus569","Peptoniphilus","Firmicutes",0.773382382878228,0.932882917241449,5.55397138181818e-05,5.42896666666667e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.160865317330321,0.554821196506616,2.34220389090909e-05,0,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",0.157563800976746,0.554755882605625,0.000122288470545455,0.000112402363636364,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",0.0577083692652157,0.348311228779338,0.000612991496,0.00074869006060606,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.447253793060344,0.787353031533314,0.0027886959629091,0.00381826557575758,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",0.13988413396118,0.527197863441126,0.00138371456763637,0.00144775278787879,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",0.70685031348808,0.913320467042266,0.00201779577890909,0.00229081021212121,FALSE
"RSV_genus589","Blautia","Firmicutes",0.30169774723023,0.719679584027052,8.54126418181818e-05,3.31515151515152e-06,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.11360523788456,0.487114165338857,0.000205211633454545,0.000109433484848485,FALSE
"RSV_genus592","Catonella","Firmicutes",0.379130196437834,0.753800037623458,0.000813160207272726,0.000811716454545455,FALSE
"RSV_genus600","Howardella","Firmicutes",0.913768923960654,0.952770488915509,2.33663727272727e-05,2.23465151515151e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.434806440775555,0.773497773590198,1.59304534545455e-05,0,FALSE
"RSV_genus603","Johnsonella","Firmicutes",0.00399301627243371,0.0981430097495123,0.000279289325818182,0.00016456196969697,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.63403532922552,0.894741742263759,0.00237362119781819,0.00227678406060606,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.837957258448006,0.952770488915509,7.09257396363636e-05,1.07151212121212e-05,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.051914446782962,0.32681621067481,6.33122785454545e-05,0,FALSE
"RSV_genus625","Moryella","Firmicutes",0.588094466946989,0.879539512513639,1.83195898181818e-05,1.85422727272727e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.640613910141508,0.894741742263759,0.00314229164254546,0.00277507703030303,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",0.723958607506903,0.92688639900505,0.000225955662909091,0.000202453060606061,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.832789752166185,0.952770488915509,0.00271194196036363,0.00345603296969697,FALSE
"RSV_genus644","Peptococcus","Firmicutes",0.0522132407586975,0.32681621067481,0.000766790306181818,0.000464340878787879,FALSE
"RSV_genus646","Filifactor","Firmicutes",0.000589381000598867,0.0249013472753021,0.00177999798436364,0.00102576106060606,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",0.000429701275898456,0.0242065052089464,0.000323414414909091,7.22784242424242e-05,TRUE
"RSV_genus650","Peptostreptococcus","Firmicutes",0.0914469335468932,0.454545052041911,0.00377935172218182,0.00345554478787879,FALSE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.480202646203093,0.787905312702162,4.18216e-06,0,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.629865044027432,0.894741742263759,0.000258349682909091,2.51127575757576e-05,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.375643911017707,0.753800037623458,8.09415563636364e-06,0,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.845750285595435,0.952770488915509,5.19878407272727e-05,6.916e-06,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.312658047183597,0.719679584027052,3.77913236363636e-06,3.84321212121212e-06,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.242724983390684,0.707250382638373,0.00175679964290909,0.00146589203030303,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.459180858473592,0.787905312702162,5.6218584e-05,0,FALSE
