"OTU","Genus","Phylum","p_value","p_adj_BH","Normal","Elevated","Hypertension.Stage.1","Hypertension.Stage.2","Hypertensive.Crisis","in_top_panel"
"RSV_genus1018","Pelomonas","Proteobacteria",0.835317160764586,0.859668761647435,0.000284835010748703,0.000217142818941504,0.000106281812030075,0.00013334436146789,0,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.238828538592333,0.429208793011624,4.34726389918458e-06,5.13448189415042e-06,9.46494862155389e-06,4.95244770642202e-06,0,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.193913943914922,0.376683408294504,3.70106467753892e-05,3.83992576601671e-05,2.28669799498747e-06,9.63646055045872e-06,0,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.0681438168749063,0.179942266435299,8.20170155670868e-05,8.54871740947075e-05,8.54457506265664e-05,7.09546293577981e-05,4.46693333333333e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.221572423032652,0.41606377213909,1.06601942179392e-05,5.89333147632312e-06,7.95746741854637e-06,3.26494256880734e-05,0,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",0.467845537726758,0.632527167006577,0.000263718943661972,0.000311452786908078,0.000263433882205514,0.000240123011009174,0.000208367518518519,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.241363892858689,0.429208793011624,0.000614256572646405,0.000579830086350974,0.0006122465,0.000670403902752293,0.00034046,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",0.0649149289783662,0.174136872973713,0.0265332161738325,0.02615095995961,0.0255951534035088,0.0269298656954129,0.0279333855555556,FALSE
"RSV_genus1064","Simonsiella","Proteobacteria",0.0148839236166833,0.0524038144004058,5.48111805040771e-05,8.48764610027855e-05,6.71456065162907e-05,4.28637229357798e-05,1.90145925925926e-05,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.745407056528022,0.818011639956076,0.000184297242772424,8.53269470752089e-05,4.9214484962406e-05,0.000230221280733945,5.25845185185185e-05,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.165005280703142,0.331974909986083,2.96278799110452e-06,1.93998189415042e-06,1.72991604010025e-06,2.19447889908257e-06,2.48518518518519e-06,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.198404676041241,0.381027161942838,1.33780893254262e-05,3.15482729805014e-06,2.29753383458647e-06,3.08278018348624e-05,0,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",1.94396831530106e-10,2.96076192664641e-09,8.77852368421053e-05,0.000125667552924791,0.000133403403508772,0.000146735176146789,9.57594444444445e-05,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",6.4475634519665e-11,1.43250767939599e-09,2.86121541882876e-05,4.42176824512535e-05,4.2351656641604e-05,7.5009128440367e-05,2.83172962962963e-05,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.523538346417707,0.650573386357298,1.83609503335804e-05,9.65906128133705e-06,1.42132142857143e-05,2.11366770642202e-05,7.35522222222222e-06,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",0.0460385785207831,0.131873216440887,2.44213180133432e-05,1.81987715877437e-05,1.90348308270677e-05,2.89044403669725e-05,3.8695037037037e-05,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",0.0927792062154372,0.223995512148698,0.004899345318384,0.00510793796796658,0.00470178614536341,0.00494489038348624,0.00372879266666667,FALSE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",0.735887286511352,0.818011639956076,1.05129154929578e-05,1.06358997214485e-05,1.57363721804511e-05,7.21257981651376e-06,8.88888888888889e-07,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",0.626424914663605,0.735179240126037,1.5902995181616e-05,1.63200863509749e-05,1.61089285714286e-05,1.37567119266055e-05,1.00658888888889e-05,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",1.38410245398195e-07,1.11387292725214e-06,0.000909534035581913,0.000499412679665738,0.000426298219298246,0.000440260888073395,0.000128581481481481,TRUE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.522482509147212,0.650573386357298,0.00116520525796887,0.000569904945682451,0.00180184856015038,0.000315444269724771,0.000333487666666667,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.429578083877251,0.595071280125044,1.92880133432172e-05,4.83664623955432e-05,8.51645238095238e-06,8.83090825688073e-06,0,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.220638401071069,0.41606377213909,0.000137531690140845,0.000102349316155989,0.000172266780701754,0.000157041669724771,0,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",4.80561840332183e-12,2.03037377540347e-10,0.0054794139406968,0.00495236193036212,0.00443997992731829,0.0049409798825688,0.00440039040740741,TRUE
"RSV_genus1229","Aggregatibacter","Proteobacteria",0.461316812808059,0.628730172294854,0.00521061479799852,0.0049444912632312,0.00516097178571428,0.00606560919633028,0.00514818762962963,FALSE
"RSV_genus1233","Haemophilus","Proteobacteria",0.00345366816433003,0.0145917479942944,0.0555860599303188,0.0541516517562674,0.0548502440676692,0.0517315668788991,0.0354765502592593,TRUE
"RSV_genus1234","Mannheimia","Proteobacteria",1.76805990365295e-10,2.96076192664641e-09,0.00148077754818384,0.001088856,0.000996651373433584,0.00100841284770642,0.000152860740740741,TRUE
"RSV_genus1238","Acinetobacter","Proteobacteria",0.344636709152255,0.53472949293275,0.00130796869681245,0.000908400362116991,0.000214387670426065,0.000805827932110091,3.26383333333333e-05,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",0.00026996395525702,0.00147173898188505,0.000511930187916975,0.000204944199164345,0.000230428578947368,0.000323183069724771,4.10848518518518e-05,TRUE
"RSV_genus1246","Azomonas","Proteobacteria",0.357825299356208,0.539932817778564,0.000148054816160119,1.02832339832869e-05,8.24390726817043e-06,1.19890752293578e-05,2.35937777777778e-05,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",0.143533825302,0.301824005088497,0.000974242053002226,0.0010924487729805,0.000942073408521302,0.000990168242201835,1.01425185185185e-05,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.00138141404805761,0.0061436572137299,3.88017865085248e-05,3.22044136490251e-05,2.15766541353383e-06,0.000169791444036697,0.000255170888888889,TRUE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.042106133931905,0.123544040493824,0.000352730826538176,0.000647111746518106,0.00060296834085213,0.00088787031559633,0.00014057337037037,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.530396913245139,0.651593370944622,1.7282114158636e-05,4.74196100278552e-06,1.90147481203008e-05,9.27168440366973e-06,0,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.000200348427831177,0.0011286294767823,3.29349673832468e-05,3.83151545961003e-05,3.02506090225564e-05,3.33346293577982e-05,2.56296296296296e-06,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",0.423749157657964,0.59184799705947,0.00420725796145292,0.00459952881615599,0.00462224202130326,0.00497429024770642,0.003560609,FALSE
"RSV_genus1309","Fretibacterium","Synergistetes",0.00278657920253114,0.0120751765443016,0.000522238898072647,0.000573314766016713,0.000580885604010025,0.000621379983486239,0.000391596037037037,TRUE
"RSV_genus1311","Pyramidobacter","Synergistetes",6.49885051574748e-08,5.78055651137539e-07,1.21869325426242e-05,8.17465320334262e-06,1.32763170426065e-05,3.08630587155963e-05,0,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",0.539062219601389,0.6535528761822,0.000240049159006672,0.000229253129526462,0.00026977586716792,0.000174259574311927,9.25419259259259e-05,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",0.27696572650318,0.477624569173852,0.000650253052631579,0.000672644264623955,0.00075830646491228,0.000692706535779818,0.00069430737037037,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.231456951081325,0.425176355790695,6.55447702001483e-06,1.44673008356546e-05,2.01125563909774e-06,1.51828623853211e-06,2.50740740740741e-06,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.137598363611469,0.29812978782485,0.000153453894736842,0.000341326359331476,0.000147830552631579,0.000251374462385321,0,FALSE
