"OTU","Genus","Phylum","p_value","p_adj_BH","College.AA","X..9th.Grade","X9.11th.Grade","High.School","College.Graduate","in_top_panel"
"RSV_genus530","Streptococcus","Firmicutes",0.0273637873731771,0.0440426672958755,0.322906895912726,0.313671262035284,0.328007426085927,0.320973830164943,0.323951344498721,TRUE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.222341797223579,0.308725811782384,3.13108425774878e-05,9.594219535284e-05,8.33007064561078e-05,6.89874974146846e-05,8.02071212276215e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.511718544867954,0.572718106507842,8.19029893964111e-06,2.8520843373494e-06,1.64705490013934e-05,2.87715977249224e-06,3.1577526342711e-05,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",1.85057614836694e-27,2.08498246049342e-26,0.000202581447797716,0.000272320408777969,0.00025408080306549,0.0002662610336091,0.000129798131457801,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",3.53134184247981e-35,9.94661285631812e-34,8.64213181076673e-05,6.57095395869191e-05,8.09938397584766e-05,9.58502812823165e-05,4.11199033248081e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.000969777808744234,0.00188382126066409,3.6826163132137e-05,2.14050378657487e-05,2.19999145378541e-05,3.92460170630817e-05,2.56892797953964e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",4.61123627962382e-15,1.90072910062543e-14,2.13255269168026e-05,2.84247925989673e-05,2.90512967951695e-05,3.6692778697001e-05,8.46483529411765e-06,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.00387636852795497,0.0071207204480912,2.6890617862969e-05,4.73322469879518e-05,6.45209057129587e-05,4.64965299896587e-05,6.76042557544757e-06,FALSE
"RSV_genus566","Murdochiella","Firmicutes",3.37529264354923e-10,9.50707427933032e-10,2.69510420065253e-05,2.31021144578313e-05,2.70276168137483e-05,3.16793738366081e-05,2.95399693094629e-06,FALSE
"RSV_genus568","Parvimonas","Firmicutes",6.40298908967262e-14,2.45932990035153e-13,0.00529525138580751,0.00417984843717728,0.0048887933896888,0.00550786509255429,0.00418063991355499,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",1.77227426576009e-05,3.65261403552994e-05,4.75063772430669e-05,4.9110178141136e-05,3.48976706920576e-05,4.17015403309204e-05,2.7251516112532e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",4.39213921200292e-08,1.07575583598332e-07,1.31836386623165e-05,1.8347182444062e-05,2.678999489085e-05,2.36564689762151e-05,1.0740894629156e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",3.20804692191336e-14,1.29085697572228e-13,0.000103852830750408,9.00693993115319e-05,0.00010543377751974,0.000116522823164426,6.99428501278773e-05,FALSE
