"OTU","Genus","Phylum","p_value","p_adj_BH","control","Prostate.cancer","in_top_panel"
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.547236683383078,0.775700944358152,4.18216e-06,0,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.932177091726572,0.960597125010918,0.000258349682909091,1.5956375e-05,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.535378985862056,0.775700944358152,8.09415563636364e-06,5.99571666666667e-05,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.248321816171667,0.763025216963851,5.19878407272727e-05,0,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.601487529204721,0.787995290198434,3.77913236363636e-06,0,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.749513786030008,0.867587875610078,0.00175679964290909,0.001576704875,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.5279762286949,0.775700944358152,5.6218584e-05,0,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.162928956055548,0.686056395390582,6.18209149090909e-05,0,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.396898616263183,0.775700944358152,8.21314705454546e-05,0,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.384984986388568,0.775700944358152,7.71322327272728e-06,0,FALSE
"RSV_genus698","Bulleidia","Firmicutes",0.0262971446089638,0.55552717986436,0.000427376124,9.46732916666667e-05,FALSE
"RSV_genus703","Eggerthia","Firmicutes",0.286943123965794,0.775700944358152,0.000147434732,6.97015416666667e-05,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.537456086140913,0.775700944358152,1.87242654545455e-06,0,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",0.786258996315798,0.885851802515799,7.46250447272727e-05,5.04980416666667e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.480465653143057,0.775700944358152,4.84193818181818e-06,0,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.550149078869979,0.775700944358152,0.00292363480872727,0.00284139175,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.854810733529833,0.923162320201797,9.77072036363636e-06,4.967125e-06,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",0.319586557286535,0.775700944358152,0.00105312885163636,0.0005863605,FALSE
"RSV_genus728","Centipeda","Firmicutes",0.132383330290629,0.670411490327778,7.63077272727273e-05,0,FALSE
"RSV_genus729","Dialister","Firmicutes",0.359053229805738,0.775700944358152,0.00255561948181819,0.0016561265,FALSE
"RSV_genus731","Megasphaera","Firmicutes",0.358875825056804,0.775700944358152,0.00536718770254546,0.00704113366666667,FALSE
"RSV_genus735","Selenomonas","Firmicutes",0.323186304791045,0.775700944358152,0.00071927828109091,0.000572261916666667,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.416875919806854,0.775700944358152,0.00158458157781818,0.00127437075,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",0.462769592409426,0.775700944358152,9.96063367272728e-05,4.90644583333333e-05,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.906065964536217,0.945216963003831,0.057177881429091,0.0550956185416667,FALSE
"RSV_genus742","Fusobacterium","Fusobacteria",0.398775917558957,0.775700944358152,0.0271414576534546,0.0221151879583333,FALSE
"RSV_genus746","Leptotrichia","Fusobacteria",0.544160058194594,0.775700944358152,0.0190211871010909,0.0209902795833333,FALSE
"RSV_genus749","Sneathia","Fusobacteria",0.842801321747224,0.919285960205958,4.43542414545454e-05,0.000280855708333333,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",0.0408927258697616,0.61450726614247,0.000648898389818181,6.7169e-05,FALSE
"RSV_genus795","Brevundimonas","Proteobacteria",0.464849842905361,0.775700944358152,5.71606098181818e-05,0,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.121808078845807,0.670411490327778,9.49002363636364e-05,2.74635833333333e-05,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.99791284956959,0.99791284956959,0.000158459832363636,1.8625e-06,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.717352860190662,0.853750939240999,0.000337193112727273,1.27083333333333e-06,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.392405724708078,0.775700944358152,1.25413410909091e-05,5.85570833333333e-06,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.622382519331124,0.790846960653834,3.53887563636363e-05,2.22547916666667e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.484496083356326,0.775700944358152,3.78155258181818e-05,0,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.858346491470401,0.923162320201797,0.000185751747272727,1.99857083333333e-05,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.619888699190823,0.790846960653834,2.20930981818182e-06,0,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.574536402219824,0.783037515928632,0.000173583443272727,2.3e-06,FALSE
"RSV_genus993","Lautropia","Proteobacteria",0.405603603892512,0.775700944358152,0.001278580856,0.00127762129166667,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",0.374332276330973,0.775700944358152,0.000707574714909091,6.5409625e-05,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.140744332440014,0.670411490327778,5.98678618181818e-05,3.80735833333333e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.714903190508981,0.853750939240999,0.000613573213818181,0.000368619916666667,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.326949299609659,0.775700944358152,0.00036777288,2.23114583333333e-05,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.383938218170661,0.775700944358152,6.36604872727273e-06,1.70790833333333e-05,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.557338941780553,0.775700944358152,1.78442665454545e-05,0,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.412573132871571,0.775700944358152,8.66322992727274e-05,4.03750416666667e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.54230754240495,0.775700944358152,6.99516072727273e-06,0,FALSE
