"OTU","Genus","Phylum","p_value","p_adj_BH","control","Lung.cancer","in_top_panel"
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.416668866583532,0.914468534261934,0.00128637445490909,0,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.832651467747883,0.914468534261934,7.19863090909091e-06,0,FALSE
"RSV_genus475","Gemella","Firmicutes",0.440014250551504,0.914468534261934,0.0474360664145454,0.0803242786666667,FALSE
"RSV_genus494","Staphylococcus","Firmicutes",0.381000778384807,0.914468534261934,0.000291499650909091,0,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",0.31716751925548,0.914468534261934,0.00151395832145455,0.000478721,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.859728544320376,0.914468534261934,3.40007927272727e-06,0,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.0231181393385962,0.517352489761339,0.0226921214825455,0.070224375,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",0.949932563426266,0.975854500634106,0.00465615702872727,0.0395189926666667,FALSE
"RSV_genus523","Leuconostoc","Firmicutes",0.857275636132108,0.914468534261934,3.07296261818182e-05,0,FALSE
"RSV_genus525","Weissella","Firmicutes",0.852492191598167,0.914468534261934,0.000125008264,0,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.037997158012799,0.517352489761339,0.000145915523636364,4.93203333333333e-05,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.0540748259438878,0.55305880718871,0.314954038696,0.205591279333333,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.637975566085826,0.914468534261934,2.61234563636364e-05,0,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.850157754435059,0.914468534261934,5.93250654545454e-06,0,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",0.15995975325582,0.914468534261934,0.000291873706545454,0,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",0.306616648996356,0.914468534261934,9.77305585454545e-05,0,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.633257573337899,0.914468534261934,4.62562189090909e-05,0,FALSE
"RSV_genus562","Ezakiella","Firmicutes",0.152549110648719,0.914468534261934,3.32202716363637e-05,1.34666666666667e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.690323990832191,0.914468534261934,4.25314323636364e-05,0,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.713519086373063,0.914468534261934,2.91351349090909e-05,0,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.570495617125075,0.914468534261934,0.00488086447418182,0.01031087,FALSE
"RSV_genus569","Peptoniphilus","Firmicutes",0.492682852855856,0.914468534261934,5.55397138181818e-05,0,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.672972275853631,0.914468534261934,2.34220389090909e-05,0,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",0.408426681290571,0.914468534261934,0.000122288470545455,1.91333333333333e-05,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",0.195150807485782,0.914468534261934,0.000612991496,0,FALSE
