"OTU","Genus","Phylum","p_value","p_adj_BH","X4","X1","X2","X3","X5","X6","X7.","in_top_panel"
"RSV_genus560","Pseudoramibacter","Firmicutes",3.16185438598152e-05,9.3746208987873e-05,7.75829109589041e-05,7.77707705099779e-05,7.90341544571933e-05,7.07370741548528e-05,6.517624399126e-05,6.73843386861314e-05,7.77963162853298e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.57196507646162,0.65312228325685,2.51709647749511e-05,5.47645332594235e-05,1.91256968225949e-05,5.88765556161396e-05,3.40570335032775e-05,4.25240058394161e-05,1.14902557200538e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",3.94508442480789e-05,0.000114951597895264,1.75944726027397e-05,3.7314655210643e-05,2.09806090026478e-05,1.81914912758997e-05,2.54839002184997e-05,2.13250204379562e-05,4.77393445491252e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.302063514131256,0.389684991512842,5.0744581702544e-05,8.6956256097561e-05,3.4631601059135e-05,2.69700545256271e-05,1.70835098324836e-05,3.06704248175182e-05,1.31474387617766e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",1.84890436985785e-09,8.44499563529666e-09,1.82300205479452e-05,2.3831487804878e-05,1.23368631950574e-05,2.97470785169029e-05,2.7577938820102e-05,1.43219211678832e-05,3.94840497981157e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.185299967018438,0.263157096017781,0.00455817060127201,0.00541544440576497,0.00475926271535747,0.00513044565376227,0.00471425730225783,0.0049325829270073,0.00484355474293406,FALSE
"RSV_genus569","Peptoniphilus","Firmicutes",0.123137685028215,0.192687673794151,3.90928204500978e-05,3.72103691796009e-05,4.70056094439541e-05,4.34900556161396e-05,4.49334996358339e-05,1.79778e-05,2.14834387617766e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",7.96581375081764e-06,2.493004673867e-05,1.38992636986301e-05,3.28979467849224e-05,1.89745494263019e-05,1.57659056706652e-05,7.89667662053896e-06,2.18568686131387e-05,3.00243499327053e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",9.17825076548448e-09,3.97724199837661e-08,9.10583199608611e-05,8.67451297117517e-05,9.0905845984113e-05,0.000106421621592148,9.55276147123088e-05,0.000112513408759124,0.000119006434724091,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",9.30932166934247e-11,4.76750109732993e-10,0.00047566498776908,0.000404036451219512,0.000486407369373345,0.000449424869683751,0.000452909289876184,0.000651806293430657,0.000690618102288021,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.0256261310921836,0.0534668661059139,0.0025032520479452,0.0027149765864745,0.00257588764960282,0.00250718054525627,0.00240215245083758,0.0023646912350365,0.00257254946433378,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",0.00203031038481258,0.00504591845637245,0.00119659288013699,0.001011103672949,0.00111030338128861,0.00121862422737187,0.00111956084850692,0.00124923623649635,0.00121725114535666,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",6.39078230887726e-06,2.03781549094388e-05,0.00183895244275929,0.00193435653769401,0.00185525386231245,0.00187238059814613,0.0017983638208303,0.00188082467445255,0.00221623996096905,FALSE
"RSV_genus589","Blautia","Firmicutes",0.47782808909135,0.58095645364344,8.67913532289628e-05,2.56575022172949e-05,3.22108786407767e-05,3.68346237731734e-05,0.000116926008011653,1.18868540145985e-05,3.15427187079408e-06,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.00643352943917813,0.0153136123270578,0.000203985711350293,0.00018599717405765,0.000224977414827891,0.000182202928026172,0.000179811091769847,0.000172827708029197,0.000150714331090175,FALSE
"RSV_genus592","Catonella","Firmicutes",0.0690558745330793,0.124153646766919,0.000755841942270059,0.000708919546563193,0.000746356850397174,0.000745012695747,0.000751988257829571,0.000774111091970803,0.000802577574697173,FALSE
"RSV_genus600","Howardella","Firmicutes",0.0241220038984765,0.0509577332355317,1.94650626223092e-05,2.47648337028825e-05,2.29630754633716e-05,2.16399574700109e-05,1.87410021849964e-05,1.7336398540146e-05,2.00440376850606e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.111967582782104,0.180214490382625,5.97615459882583e-06,6.33510864745011e-06,1.78617352162401e-05,2.11045338058888e-05,2.57806496722505e-05,3.52507372262774e-05,1.6795800807537e-05,FALSE
"RSV_genus603","Johnsonella","Firmicutes",3.30528837127177e-27,5.07812486131754e-26,0.000227953771526419,0.000201550563192905,0.00025162120917917,0.000223144089967285,0.000315227775673707,0.000300366735766423,0.000326290071332436,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.0360684705320891,0.0700640404588857,0.00241913945645793,0.00235649698115299,0.00257582928993822,0.00235490158669575,0.0021406302221413,0.0021416464919708,0.0022528903499327,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.0501877431495824,0.0933714048291127,6.19420161448141e-05,9.16138968957871e-05,8.45644461606355e-05,6.67859492911668e-05,0.000105408907501821,0.000217417048175183,0.000103115468371467,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",4.92125464935453e-46,2.77230678580305e-44,6.032960518591e-05,1.74960266075388e-05,4.36829973521624e-05,5.85507584514722e-05,9.8652786598689e-05,0.000121064786861314,0.00013840200269179,FALSE
"RSV_genus625","Moryella","Firmicutes",0.000353307887666537,0.000978836606813849,1.12590753424657e-05,1.23025842572062e-05,1.23663093556929e-05,9.32608287895311e-06,1.50302119446467e-05,1.5226694890511e-05,2.01590484522207e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.000527482085284502,0.00141499162560446,0.00331825507534246,0.00337940445121951,0.00346203428640777,0.00333277784023991,0.00302762707720321,0.00296548044817518,0.00283063072543742,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",0.00137631366544878,0.003471597156132,0.000182612762720156,0.000176618752771619,0.000171306969991174,0.000201614511995638,0.000218264715222141,0.000201813962043796,0.000186682943472409,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",2.58611359202029e-07,9.29900419258359e-07,0.00249111029647749,0.00283057331263858,0.00276885559399823,0.003076338304253,0.00228131252002913,0.00220789744525547,0.00243515750336474,TRUE
"RSV_genus644","Peptococcus","Firmicutes",1.03043293419465e-38,4.35357914697239e-37,0.000627922805283757,0.000603054771618625,0.000552700803618711,0.000618200365321701,0.000741826994901674,0.000706543344525547,0.000885737706594884,FALSE
"RSV_genus646","Filifactor","Firmicutes",6.74284531822898e-23,7.12213036737936e-22,0.00126643004452055,0.00124887077272727,0.00124488749867608,0.00129570806924754,0.00144510666860888,0.00160055744233577,0.00208329104037685,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",4.92707106827274e-35,9.25194456153437e-34,0.000263300257338552,0.000262488688470066,0.000236199580759047,0.000291559239367503,0.000309819724690458,0.000375192252554744,0.000415460973082099,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",9.36016061195123e-24,1.05457809561317e-22,0.00326060647945206,0.00325865464634146,0.00312596883142101,0.00347851264176663,0.00363614771303715,0.00378842420145985,0.00428882774293405,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.37396859557375,0.464710975382087,1.36043444227006e-06,9.71516186252771e-06,6.12210370697264e-06,2.89809378407852e-06,3.80967662053897e-06,8.09313138686131e-06,7.42058277254374e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.0286165415763276,0.0582674159807151,0.000273818931017612,0.000129998201773836,9.94276954986762e-05,9.08202039258452e-05,0.000366797040058266,0.000138372089051095,7.00344279946164e-05,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.260400787220137,0.349267722541294,5.79272700587084e-06,2.61000332594235e-06,5.80048852603707e-06,3.64861777535442e-06,6.24423088128187e-06,1.13296058394161e-06,4.09749932705249e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.0566356143269802,0.104037161100648,9.69654207436399e-05,0.000502004083148559,5.585113239188e-05,3.97503435114504e-05,0.000139270764748725,0.000118778005839416,0.000123549197846568,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.0920383941708735,0.157116046614926,7.25293884540117e-06,4.94846341463415e-06,7.70838967343337e-06,8.91121864776445e-06,2.60375819373634e-06,4.35404773722628e-05,1.06999798115747e-05,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.00104716407532792,0.00268137467773362,0.00170528020694716,0.00150951983037694,0.00157273452647837,0.00153116424863686,0.00177526440422433,0.00162227100583942,0.00150297367967699,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.083543892323568,0.144070589823296,4.24619452054794e-05,7.60206208425721e-06,2.22650185348632e-05,1.97192099236641e-05,0.000139031231609614,6.6858700729927e-06,1.62317765814266e-06,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.0207504923168978,0.0455432883318925,7.74116780821918e-05,0.00023684215631929,9.48270750220653e-05,8.70463249727372e-05,9.94861565914057e-05,0.000254187128467153,0.000131776772543742,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.345719978876458,0.43346420181255,0.00012317182925636,2.05741507760532e-05,1.60115229479259e-05,2.95989994547437e-05,8.89395294974508e-05,1.10366890510949e-05,1.47637281292059e-06,FALSE
"RSV_genus689","Pelospora","Firmicutes",2.44025608551496e-05,7.36434425807193e-05,1.8820362035225e-06,5.33832039911308e-06,5.07325948808473e-06,1.34991057797165e-06,3.60441733430444e-06,5.07780145985402e-06,1.14165921938089e-05,FALSE
"RSV_genus698","Bulleidia","Firmicutes",9.08466740725303e-05,0.000255884798637627,0.000373821544520548,0.000324836186252772,0.000386796500882613,0.000396639962922574,0.000370063348871085,0.000425084338686131,0.000433194586810229,FALSE
"RSV_genus703","Eggerthia","Firmicutes",8.56699192367232e-06,2.63240297291022e-05,8.89490807240704e-05,0.000111685515521064,0.000111849027360989,9.71761450381679e-05,0.000106341688273853,0.000131214639416058,0.000149289990578735,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.00329186709913092,0.00794750771075894,7.91046477495108e-07,1.17535144124169e-06,1.2722639011474e-06,1.6729187568157e-06,1.83002476329206e-06,2.25401459854015e-07,1.88931493943472e-06,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",9.8724612936971e-09,4.17111489658702e-08,6.54602744618396e-05,4.84152760532151e-05,5.49552016769638e-05,7.34862050163577e-05,6.42337538237437e-05,6.81852233576641e-05,8.59136998654105e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.51358747901376,0.611241436291024,4.8611252446184e-06,7.10325720620843e-06,1.69710150044131e-05,1.5266254089422e-05,1.32473816460306e-05,3.32689605839416e-05,2.59063539703903e-05,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.259678252287172,0.349267722541294,0.002953566305773,0.00320280898669623,0.00309133633583407,0.0030250467131952,0.00288179617188638,0.00283360992846716,0.00296663055047107,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.192639353240166,0.2713004224799,1.67198502935421e-05,3.33610543237251e-05,2.42725714916152e-05,2.21186101417666e-05,2.53413044428259e-05,5.79251459854014e-05,3.54852314939435e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",0.197916215408007,0.276428433090522,0.000868015522504893,0.00097842527383592,0.000796732296557811,0.000841105889312979,0.000787029177713038,0.000758872932846715,0.000720357870794078,FALSE
"RSV_genus728","Centipeda","Firmicutes",0.298808694349562,0.388451302654431,5.92060675146771e-05,5.79179922394678e-05,4.87857453662842e-05,5.82112001090513e-05,5.96086314639475e-05,6.38698131386861e-05,7.60858923283984e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",0.1461836576294,0.220580697672933,0.00223298518688845,0.00238375696452328,0.00211517264386585,0.00236753737513632,0.00236256517042972,0.00218001366131387,0.00219881183445491,FALSE
"RSV_genus731","Megasphaera","Firmicutes",6.71764405221837e-10,3.24366241378544e-09,0.00517111222309198,0.00577739678270509,0.00558837518667255,0.00557351628516903,0.00466527790021849,0.00430135918394161,0.0045205308115747,TRUE
"RSV_genus735","Selenomonas","Firmicutes",0.465379449508477,0.569921209905309,0.000651698343444228,0.000668839920177383,0.000657229372462488,0.000712210058342422,0.000570762101966497,0.000626657454014597,0.000789448658142665,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.0027107625763756,0.00663940399141271,0.00156590629598826,0.00145005325609756,0.00156873629788173,0.00150149654798255,0.00134598870502549,0.0014614365649635,0.00143399364468371,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",0.553482842740512,0.636317009681269,9.39885557729943e-05,8.8573332594235e-05,9.07065039717564e-05,0.000102422057251908,8.09430903131829e-05,9.51574175182482e-05,0.000101334830417227,FALSE
"RSV_genus740","Veillonella","Firmicutes",1.24855557643831e-12,7.27606525579567e-12,0.0604706674652642,0.0631475871241685,0.0626521933203883,0.0620891449340241,0.0570062268667152,0.0564794271664234,0.0528440659165546,TRUE
"RSV_genus742","Fusobacterium","Fusobacteria",8.96862180506252e-08,3.36821574456793e-07,0.0273421281379647,0.0260951202172949,0.0260285518234775,0.0266507464520174,0.028425909399126,0.0274538443343066,0.0297745132261104,TRUE
"RSV_genus746","Leptotrichia","Fusobacteria",0.0219045747844943,0.047459912033071,0.0188932011066536,0.0179798082583149,0.0199196675379523,0.0190479347824427,0.0177027385513474,0.0176639564686131,0.0178873853351279,TRUE
"RSV_genus749","Sneathia","Fusobacteria",0.0295194694455591,0.0593903611464225,6.43178679060665e-05,3.04779279379157e-05,4.65318089143866e-05,5.21217699018539e-05,8.11174362709395e-05,5.48725270072993e-05,9.37979569313593e-05,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",2.66885129278484e-52,4.51035868480638e-50,0.000706567090508806,0.000267772835920177,0.000378252769638129,0.000629582282442749,0.000973852819373634,0.00102438905109489,0.00134816189367429,TRUE
"RSV_genus795","Brevundimonas","Proteobacteria",0.841349174653027,0.856554280219045,2.84361956947162e-05,0.000275305092017738,0.000136603145189762,3.31953162486369e-06,4.72156008739986e-06,3.45350656934306e-05,7.04038088829071e-06,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.34625838606328,0.43346420181255,1.02062641878669e-05,0.000101262402439024,8.67390551632833e-05,1.97673080697928e-05,6.65950203932993e-05,5.11683503649635e-06,1.94031090174966e-06,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.93568069289884,0.946886449700024,0.000143575500489237,5.59646851441242e-05,5.45926729920565e-05,1.35413140676118e-05,2.23667115804807e-05,3.53191430656934e-05,0.000309877771197847,FALSE
