"OTU","Genus","Phylum","p_value","p_adj_BH","Male.58.82cm..Female.58.80cm","Male.83.92cm..Female.81.89cm","Male.93.100cm..Female.90.97cm","Male.101.110cm..Female.98.109cm","Male.111.179cm..Female.110.165cm","in_top_panel"
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.156189421060861,0.290066067684457,0.00172647450630252,0.00165042448481562,0.00183751127902023,0.00164980604069176,0.00159600512462312,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.880433191839684,0.912841775588384,0.000129385742647059,1.19602678958785e-05,6.44188562300319e-05,7.30976022380468e-05,1.45992844221106e-05,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.290401821530807,0.438195605702735,0.000111077347689076,3.87661247288503e-05,0.000116016744408946,0.000191512043743642,0.000123923947738693,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.876797419289397,0.912841775588384,0.000223693095588235,2.89104924078091e-05,4.88002662406816e-05,0.00010341890335707,4.1495624120603e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.0132552147703292,0.0386229533825109,3.81839600840336e-06,9.44945661605206e-06,4.68190095846645e-06,2.89913631739573e-06,2.48294773869347e-06,FALSE
"RSV_genus698","Bulleidia","Firmicutes",0.0250473155811937,0.0682741344068023,0.000334886427521009,0.00043316509978308,0.00039047549627263,0.000378550182095626,0.000427695784924623,FALSE
"RSV_genus703","Eggerthia","Firmicutes",5.43342362811512e-05,0.000296209223597244,0.000111286352941176,0.000105246654013015,0.000118316927582535,0.000121680408952187,0.000149931013065327,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.0945670670946565,0.190259932607107,2.31175630252101e-06,1.75633188720174e-06,7.76462193823216e-07,1.4460518819939e-06,2.68341708542714e-07,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",0.294627223401216,0.440637174821288,5.38603865546219e-05,7.41818101952277e-05,6.79842811501597e-05,6.46488453713123e-05,7.27938090452261e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.927738200170063,0.95602290139476,1.66303655462185e-05,7.44395553145336e-06,2.04326155484558e-05,2.8206483214649e-05,3.23305256281407e-05,FALSE
