"OTU","Genus","Phylum","p_value","p_adj_BH","X70.75.bpm","X.60.bpm","X60.70.bpm","X75.85.bpm","X85..bpm","in_top_panel"
"RSV_genus204","Slackia","Actinobacteria",0.328485989309603,0.604132430261905,7.03612983151635e-06,8.70076720647773e-06,9.57205800293686e-06,8.60585605419136e-06,9.88492914438502e-06,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.494595649619529,0.726840563353917,0.00156121223885035,0.00151995515991903,0.00134817052422907,0.00153251515325995,0.00273687453208556,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.97201527121928,0.983656172671008,9.7033917740337e-05,0.000124428392712551,0.000110257063876652,8.80748060965283e-05,0.000103359113636364,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.28212242062092,0.598146058138205,0.000175443263627354,0.000157960030364372,8.49335521292217e-05,7.85235554614733e-05,0.000104126040106952,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.273396432973492,0.598146058138205,3.70492438057483e-05,1.96937753036437e-05,2.93530535976505e-05,2.09198975444539e-05,2.34149719251337e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.0596200694246009,0.265152414019936,0.000141063442021804,2.88233562753036e-05,3.78390095447871e-05,0.000130965130397968,5.16728877005348e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.223950653764053,0.534687153887554,0.0177059187670961,0.0179774928623482,0.0186847707283407,0.0189814237662998,0.0179239286684492,FALSE
"RSV_genus255","Tannerella","Bacteroidetes",0.135755493437788,0.435169963283168,0.00104328688602577,0.000925316002024292,0.00104655115859031,0.00108178409398814,0.00113186694652406,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.150177613952622,0.453214584964162,0.0232550192329039,0.0247868739878543,0.02376728108884,0.0222294181803556,0.0228142286470588,FALSE
"RSV_genus259","Prevotella","Bacteroidetes",0.105761324016309,0.386864429504244,0.0255517239990089,0.027333631854251,0.0254234046505139,0.0249305343124471,0.0238490552165776,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.184551299160083,0.495066183461174,0.00165329979484639,0.00132998371659919,0.00164085049632893,0.00158748928027096,0.00299176561497326,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.00039715040182292,0.0163730309100516,0.00633514366997027,0.00647464485425102,0.00588948958296623,0.0051530290211685,0.00499888232085561,TRUE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.0226962429271005,0.173590930586142,0.0811651666610505,0.0849591779574898,0.0792077416064611,0.075089903019475,0.0762654132981284,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.210423054536311,0.522963179656419,0.000279068739345887,5.64022246963563e-05,5.59183281938326e-05,0.000587295729889924,3.36291711229947e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.282261087667896,0.598146058138205,0.000153872097125867,7.29088846153846e-05,2.30406688693098e-05,0.000153579192209992,0.000121033530748663,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.967658595138743,0.983656172671008,2.32343984142716e-05,1.18828279352227e-05,3.69822136563877e-05,2.54136037256562e-05,2.06143328877005e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",0.14089590050955,0.435169963283168,0.00491192064420218,0.00532304210728745,0.00487743501688693,0.00524294194580863,0.00559923670454545,FALSE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.0136808909631798,0.165147898055527,0.00296281946679881,0.00279872412753036,0.00296818209251102,0.00329859673327688,0.00298935457219252,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.00463079507028836,0.0675973515502374,4.96467195242815e-06,2.73060587044534e-05,7.9223362701909e-06,1.58550770533446e-05,7.58742914438503e-06,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.934636201213475,0.983656172671008,0.00114856250346878,0.00146194062348178,0.000991039230543319,0.00108223537595258,0.00113393314572193,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.297012960729951,0.604132430261905,2.17797026759167e-06,1.56367894736842e-05,1.20870462555066e-05,1.37461388653683e-06,2.10267245989305e-05,FALSE
"RSV_genus475","Gemella","Firmicutes",0.000484409198522236,0.0163730309100516,0.048829505320119,0.0432622065425101,0.0477827045301028,0.0517771262320068,0.0473369688983957,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",0.177583923632278,0.491994804817294,0.00034375146481665,0.000350263908906883,0.0003025600969163,0.000340822862828112,0.00016908863368984,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",0.0585157653795727,0.265152414019936,0.00178763882656095,0.00146008297773279,0.00165276153891336,0.0018996363911939,0.00207272307887701,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.349481462089109,0.604132430261905,3.07404955401387e-06,2.5052044534413e-06,2.35839207048458e-06,3.93475105842506e-06,3.58884759358289e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.591865693754444,0.809528394743725,0.0240109367998018,0.0234429491538462,0.0233871374287812,0.0243994181066893,0.0238103700828877,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",6.14280692281052e-05,0.00496037211532701,0.00518541275421209,0.00483847754048583,0.00433870143759178,0.00387671154868755,0.0076517202526738,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.636511327587437,0.833879181102921,3.83122695738355e-06,8.70767813765182e-06,1.72316079295154e-06,5.79734022015241e-05,1.38845828877005e-05,FALSE
"RSV_genus525","Weissella","Firmicutes",0.430296454548245,0.679569402683393,1.12703666997027e-05,0.000673072530364372,6.66161233480176e-06,6.48400931414056e-06,2.38669919786096e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.0112093127126882,0.145721065264947,3.6267781962339e-05,2.94576619433198e-05,0.000145002581497797,2.51547188823031e-05,0.000394647029411765,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.342298828946905,0.604132430261905,0.318148099809713,0.309712993202429,0.320561705007343,0.3257873432337,0.318400625374332,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.0372903343553578,0.237912989217954,1.69801546085233e-05,7.43573562753036e-05,7.19035462555066e-05,2.64818289585097e-05,0.000195321026737968,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.78582589093531,0.913503435151523,3.68502775024777e-06,1.66614979757085e-06,1.67631534508076e-05,1.23932946655377e-05,1.20358395721925e-05,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",0.954666569940064,0.983656172671008,0.000231773939544103,0.000244803524291498,0.000230864629955947,0.000238807403895004,0.000245681443850267,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",0.746405705556893,0.902006232781425,7.54317314172448e-05,9.36877834008097e-05,8.08693208516887e-05,7.63189542760373e-05,0.000107549018716578,FALSE
