"OTU","Genus","Phylum","p_value","p_adj_BH","English","Spanish","in_top_panel"
"RSV_genus644","Peptococcus","Firmicutes",8.97564518904812e-66,7.58442018474566e-64,0.000585255961371375,0.00104482545639098,TRUE
"RSV_genus646","Filifactor","Firmicutes",3.29091995836651e-54,1.39041368240985e-52,0.00125852563883997,0.00212168706766917,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",9.8252302029577e-22,7.54756320136296e-21,0.000274732466948456,0.000372991484962406,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",1.44670547719618e-44,4.88986451292309e-43,0.00319590582622989,0.00497864223383458,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.0489684125153199,0.0827566171508907,5.37858893976753e-06,9.0986992481203e-07,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.000878510695258791,0.00206205982637133,0.000135622016085476,0.000424174263909775,TRUE
"RSV_genus659","Fastidiosipila","Firmicutes",0.0257288545345685,0.0494110956402509,5.30780544792768e-06,9.15262406015037e-07,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",3.83670046563851e-05,0.000109898708253035,0.000133449923212399,5.8835752631579e-05,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.030977140916805,0.0562917937090327,1.05152857813784e-05,3.67706015037594e-06,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.0281878079411893,0.0529304393562332,0.00160472908336269,0.00166697504210526,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.0448699741225578,0.0781755219248688,2.3928207937067e-05,0.000130184973684211,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",1.10921718533003e-08,3.98846179405903e-08,0.000121518227779734,9.0251337593985e-05,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.638722492471952,0.714861597534834,4.2886748502994e-05,9.50318744360902e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",5.06996197095295e-13,2.67757366590953e-12,3.60909475167312e-06,6.62016240601504e-06,FALSE
"RSV_genus698","Bulleidia","Firmicutes",0.108246488208771,0.17258166516304,0.000398575820124457,0.000291342186466165,FALSE
"RSV_genus703","Eggerthia","Firmicutes",1.0830348174504e-17,7.32131536596468e-17,0.000102913664670659,0.000138736202255639,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.315469246664987,0.406979409819716,1.38638123752495e-06,6.70018796992481e-07,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",6.75892278643363e-07,2.33113867532099e-06,6.45479105318774e-05,6.44757248120301e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.0105978799147658,0.021321925066612,1.63937839614888e-05,2.55516090225564e-06,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.321980230947396,0.40913277466248,0.00301489451661383,0.00293459089473685,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",4.33996085665647e-05,0.000122242230795824,2.93298075613479e-05,8.17301879699248e-06,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",0.493619128478467,0.591642785197595,0.000867968077844312,0.000562336623308271,FALSE
"RSV_genus728","Centipeda","Firmicutes",0.451147050364834,0.552491677620703,5.80014562639427e-05,5.91683902255639e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",0.0304827898328816,0.0559955595843151,0.00226809867089351,0.00218259203834587,FALSE
"RSV_genus731","Megasphaera","Firmicutes",8.63853778530805e-06,2.65438706494011e-05,0.00533970545156746,0.00443488194135338,TRUE
"RSV_genus735","Selenomonas","Firmicutes",0.0179056802537572,0.0351867437544763,0.00067274647728073,0.000601906281954888,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.133061751847464,0.208217000576124,0.00153447725220147,0.0012500772075188,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",0.930032839108456,0.946840661501982,9.64197786779379e-05,7.20232804511278e-05,FALSE
"RSV_genus740","Veillonella","Firmicutes",1.27509831500128e-15,7.43074535293852e-15,0.061294622968416,0.0530656571496241,TRUE
"RSV_genus742","Fusobacterium","Fusobacteria",4.1815834828927e-18,2.94453170253695e-17,0.0264990358161324,0.0312391789699248,TRUE
"RSV_genus746","Leptotrichia","Fusobacteria",0.00649565435074974,0.013226091388876,0.0187755511772925,0.0185654114902256,FALSE
"RSV_genus749","Sneathia","Fusobacteria",0.000468197061130718,0.00116448300528269,6.37868284607256e-05,2.65944383458647e-05,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",1.50429058069625e-10,6.20061239360164e-10,0.000659672737231418,0.00084179467518797,FALSE
"RSV_genus795","Brevundimonas","Proteobacteria",0.83188964680594,0.873225778324247,7.66775800164377e-05,3.29834661654135e-06,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.51472490174332,0.608311247514832,4.49324539156981e-05,4.41324578947369e-05,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.684400514346646,0.755971809964596,5.96023906305037e-05,0.000203006742105263,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.242771808048855,0.330874480324649,1.41223682047669e-05,0.000672259119548872,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.0243212249775508,0.0472446784046677,4.15032088763649e-06,2.13056789473684e-05,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.17826669790373,0.267948800293756,1.66457023599859e-05,3.14654481203008e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.0569841736453847,0.0944149543732354,1.29372253140777e-05,9.92428120300752e-06,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.429184298977768,0.53505591632437,6.02286550428555e-05,0.000256018156390977,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.214813728300993,0.300029091593949,7.26321204649525e-06,3.61776616541353e-06,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.44838877650419,0.552491677620703,5.46257982857814e-05,0.000230358660150376,FALSE
"RSV_genus993","Lautropia","Proteobacteria",7.56295028588677e-11,3.45442864409423e-10,0.00137786854925443,0.00143280868571428,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",0.986249473571863,0.986249473571863,0.000283663073500059,0.000109756485714286,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.200798615824595,0.288388872967698,3.18891403076201e-05,3.1625537593985e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.0463297086426837,0.0798951098021791,0.000307003406481156,0.000611261206766917,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.29123117566531,0.378600528364902,0.000162166131266878,0.000101490093984962,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.615292936260713,0.702598015054463,4.67741376071387e-06,2.97191804511278e-06,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.107195798162471,0.172534189423406,4.58798262298932e-06,8.01328105263158e-05,FALSE
