"OTU","Genus","Phylum","p_value","p_adj_BH","control","Colon.cancer","in_top_panel"
"RSV_genus658","Faecalibacterium","Firmicutes",0.239490779998701,0.707839484691873,0.000258349682909091,1.64461e-05,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.626106016072865,0.813037422174226,8.09415563636364e-06,0,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.0452968490041451,0.478447967606283,5.19878407272727e-05,1.53163e-05,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.736499065934227,0.820308527299366,3.77913236363636e-06,0,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.0126065825072645,0.300854152866592,0.00175679964290909,0.0004372457,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.684110729365879,0.813037422174226,5.6218584e-05,0,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.131434376786447,0.614956864632649,6.18209149090909e-05,5.1777e-05,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.186968949950475,0.701572294228024,8.21314705454546e-05,1.74329e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.575187702222868,0.813037422174226,7.71322327272728e-06,0,FALSE
"RSV_genus698","Bulleidia","Firmicutes",0.087784295853424,0.614956864632649,0.000427376124,0.0001295731,FALSE
"RSV_genus703","Eggerthia","Firmicutes",0.492103325604042,0.813037422174226,0.000147434732,6.24983e-05,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.69097666552934,0.813037422174226,1.87242654545455e-06,0,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",0.670741665424221,0.813037422174226,7.46250447272727e-05,3.59812e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.0792595274896891,0.614956864632649,4.84193818181818e-06,6.84e-06,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.537690896950278,0.813037422174226,0.00292363480872727,0.0024987485,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.256529165535544,0.707839484691873,9.77072036363636e-06,1.79569e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",0.552500435882533,0.813037422174226,0.00105312885163636,0.0004401313,FALSE
"RSV_genus728","Centipeda","Firmicutes",0.331397437685736,0.767207766697114,7.63077272727273e-05,0,FALSE
"RSV_genus729","Dialister","Firmicutes",0.106472937188846,0.614956864632649,0.00255561948181819,0.0009676858,FALSE
"RSV_genus731","Megasphaera","Firmicutes",0.540934789396249,0.813037422174226,0.00536718770254546,0.0072267422,FALSE
"RSV_genus735","Selenomonas","Firmicutes",0.14772862061478,0.614956864632649,0.00071927828109091,0.0002439494,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.291186632636947,0.707839484691873,0.00158458157781818,0.0010412554,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",0.938708276219812,0.946591755998885,9.96063367272728e-05,5.79063e-05,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.409869507431999,0.80959431717536,0.057177881429091,0.069034214,FALSE
"RSV_genus742","Fusobacterium","Fusobacteria",0.24128251254172,0.707839484691873,0.0271414576534546,0.0228422467,FALSE
"RSV_genus746","Leptotrichia","Fusobacteria",0.214318580206857,0.707839484691873,0.0190211871010909,0.0109103419,FALSE
"RSV_genus749","Sneathia","Fusobacteria",0.356788385143157,0.793384699949055,4.43542414545454e-05,0,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",0.286484303103716,0.707839484691873,0.000648898389818181,0.0002265984,FALSE
"RSV_genus795","Brevundimonas","Proteobacteria",0.637390540972592,0.813037422174226,5.71606098181818e-05,0,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.584729969644924,0.813037422174226,9.49002363636364e-05,0,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.515272478590306,0.813037422174226,0.000158459832363636,0,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.589611002696787,0.813037422174226,0.000337193112727273,0,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.667665116677695,0.813037422174226,1.25413410909091e-05,0,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.676014572899044,0.813037422174226,3.53887563636363e-05,3.66333e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.0801307229098729,0.614956864632649,3.78155258181818e-05,2.57e-06,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.545998721985206,0.813037422174226,0.000185751747272727,0,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.749338486484041,0.820308527299366,2.20930981818182e-06,0,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.38842826237075,0.806515210141882,0.000173583443272727,0,FALSE
"RSV_genus993","Lautropia","Proteobacteria",0.411982906964976,0.80959431717536,0.001278580856,0.0013384405,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",0.125023039700834,0.614956864632649,0.000707574714909091,1.145e-05,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.283502409215198,0.707839484691873,5.98678618181818e-05,5.05e-06,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.0265818940120328,0.408394553457594,0.000613573213818181,0.0034358529,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.337856832673944,0.771591955701304,0.00036777288,0.0058399626,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.0609599366155498,0.542222594106732,6.36604872727273e-06,3.02e-06,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.705264975973785,0.813037422174226,1.78442665454545e-05,0,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.907927216723994,0.92993757349306,8.66322992727274e-05,0.0001066413,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.694476780968823,0.813037422174226,6.99516072727273e-06,0,FALSE
