"OTU","Genus","Phylum","p_value","p_adj_BH","control","Heart.attack","in_top_panel"
"RSV_genus993","Lautropia","Proteobacteria",5.51789929770006e-07,1.86504996262262e-05,0.001278580856,0.000808639982905983,TRUE
"RSV_genus998","Ralstonia","Proteobacteria",0.0597788152750158,0.148567937962907,0.000707574714909091,0.000477063487179487,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.0450782255668613,0.12092412890158,5.98678618181818e-05,3.24666239316239e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.19842810551252,0.352993156122272,0.000613573213818181,0.00195012862393162,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.166158994693409,0.315515394417823,0.00036777288,0.000345747846153846,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.933358069230848,0.967549855965496,6.36604872727273e-06,2.87454700854701e-06,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.19482794877659,0.350275780247273,1.78442665454545e-05,0,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",8.44641559634964e-06,0.000118953686315257,8.66322992727274e-05,1.26732136752137e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.370851969822023,0.559589133035016,6.99516072727273e-06,0.000135854914529915,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",0.913977606348787,0.965388846705907,0.000323729153818182,0.000192847965811966,FALSE
"RSV_genus1061","Kingella","Proteobacteria",2.12192237891278e-05,0.000221274023708303,0.000606594229090909,0.000584195230769231,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",0.000786540490669567,0.00402804069464112,0.0258712847454546,0.0253497146666667,TRUE
"RSV_genus1064","Simonsiella","Proteobacteria",0.00900419853369757,0.0317022823373935,6.26230661818182e-05,6.33179487179487e-05,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.0271904395154511,0.0786827835571318,0.0001319372,0.000745583863247863,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.0684918441944961,0.162764686613401,3.05048181818182e-06,0,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.816405200409631,0.895080165411182,1.63779749090909e-05,6.86209401709402e-06,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",0.673167486046563,0.79003684126298,0.000125077313818182,9.45316837606838e-05,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",0.495683990498934,0.654457768705624,4.53401767272727e-05,6.17324017094017e-05,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.305225619711804,0.500807084769853,1.79964970909091e-05,2.44314358974359e-05,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",0.257696204227008,0.444394474636372,2.51691185454545e-05,3.59555811965812e-05,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",2.22583337458056e-05,0.000221274023708303,0.00522610350327273,0.00401947149572649,TRUE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",0.986254052785989,0.992124612624001,1.26627621818182e-05,3.0508547008547e-06,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",0.0833599634478186,0.187837784302418,2.05877636363636e-05,9.5889829059829e-06,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",3.48754592098948e-09,2.94697630323611e-07,0.000902975710545455,0.000264578948717949,TRUE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.304878777947243,0.500807084769853,0.00109018026509091,0.00131860297435897,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.334930929977078,0.53225068900038,0.000192039179636364,5.3841452991453e-06,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.00648585538341011,0.0243579902176958,0.000129070325090909,0.000173978145299145,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",3.78677258452086e-08,2.13321522261342e-06,0.00499902861127272,0.00410493906837607,TRUE
