"OTU","Genus","Phylum","p_value","p_adj_BH","control","Diabetes","in_top_panel"
"RSV_genus231","Bacteroides","Bacteroidetes",0.013795494027777,0.0496050742700916,0.00109256124436364,0.000681029683884298,TRUE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.2823703918149,0.458851886699212,0.000124930004,0.000111657438016529,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.135343607835537,0.292670685715589,0.000127973106181818,2.55267561983471e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.290344623381642,0.462907937278279,3.37328512727273e-05,2.06862582644628e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.376332992763903,0.553045876322606,6.59804029090909e-05,6.4832520661157e-06,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.0167045422662539,0.057613625367284,0.0189265405999999,0.0177572477727273,FALSE
"RSV_genus255","Tannerella","Bacteroidetes",0.00584747568148277,0.0253390612864253,0.001140682888,0.00120945520454546,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",5.91158368693409e-06,0.000166509607181977,0.0231263851381818,0.021057917072314,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",0.0118291312991,0.044424959767731,0.0269819593796364,0.0258304143884297,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.0032908153853563,0.0154485500034782,0.002038417492,0.00163736234917355,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.119391473866557,0.269028787779309,0.00556697774036365,0.00630689263636364,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.831954052831077,0.908631528161491,0.079268885846909,0.0794633779008265,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.087320540534388,0.210226854385836,0.000210420472363636,2.26045723140496e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.885375527325217,0.928207809160366,0.000133819138909091,1.71648243801653e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.0171694487329056,0.0580327367172208,2.83582345454545e-05,1.60918161157025e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",0.000550681614094108,0.00517028848788357,0.00472671352727272,0.00342912597727273,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.22969061223834,0.420877942327768,0.00313383203781819,0.00350918919214876,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.305146856652976,0.473117603434431,1.53993483636364e-05,9.8533347107438e-06,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.118853395424593,0.269028787779309,0.00128637445490909,0.000334597535123967,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.205269547576902,0.393932287941705,7.19863090909091e-06,1.79362252066116e-05,FALSE
"RSV_genus475","Gemella","Firmicutes",0.68758009355432,0.818317153596339,0.0474360664145454,0.0461928321239669,FALSE
"RSV_genus494","Staphylococcus","Firmicutes",0.192814312264464,0.387924033008267,0.000291499650909091,0.000186873533057851,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",0.343054943110962,0.513064472440288,0.00151395832145455,0.00224027933057851,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.968773612794198,0.974540122394163,3.40007927272727e-06,2.19841115702479e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.889761331857865,0.928207809160366,0.0226921214825455,0.0227967315371901,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",2.93578110323158e-06,9.92294012892275e-05,0.00465615702872727,0.00873547217148761,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.776661727313544,0.875038879439927,3.07296261818182e-05,2.95807644628099e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.884746611819442,0.928207809160366,0.000125008264,9.63986983471074e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.0346777368759502,0.101043750552338,0.000145915523636364,0.00015158483677686,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.234097790407161,0.420877942327768,0.314954038696,0.323146132698348,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.942654876638957,0.965507116072629,2.61234563636364e-05,2.24129214876033e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.265003124263157,0.442440776939391,5.93250654545454e-06,8.99218801652893e-06,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",2.23947622057699e-05,0.000420523868086123,0.000291873706545454,0.000194653878099173,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",0.00118349373128986,0.00833376835783276,9.77305585454545e-05,9.2714347107438e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.00272489903507157,0.0135482656084923,4.62562189090909e-05,4.31331342975207e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",0.0375896234300025,0.10587743932784,3.32202716363637e-05,2.63261838842975e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.376180929491086,0.553045876322606,4.25314323636364e-05,0.00016566729338843,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.0937194457127155,0.219980365631235,2.91351349090909e-05,8.50042768595041e-06,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.628491876423972,0.769674834171387,0.00488086447418182,0.00568827140082645,FALSE
