"OTU","Genus","Phylum","p_value","p_adj_BH","X30.39","X14.19","X20.29","X40.49","X50.59","X60.69","in_top_panel"
"RSV_genus264","Prevotella 9","Bacteroidetes",0.0215921711141183,0.0325810439132678,0.000291134354626866,0.000173736295857988,5.26263509174312e-05,0.000111733284348865,9.12406754098361e-06,4.47742703053931e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.0702572115666293,0.0981278409484327,6.51945253731343e-06,6.28298538461538e-05,3.91469701834862e-05,9.557727479092e-05,8.6825724590164e-05,3.18376673164392e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",4.32576476740913e-10,9.61913481173873e-10,3.04853456716418e-05,1.27996899408284e-05,3.55729105504587e-05,3.52178578255675e-05,1.9949748852459e-05,9.15787329434698e-06,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",2.90414694483527e-120,2.45400416838581e-118,0.00477121131522388,0.00969608472307691,0.00687801160779816,0.00338135650537634,0.00279522409049181,0.00261285761208577,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",1.5270472525036e-05,2.71653669129587e-05,0.00285638605492537,0.00292220459763314,0.00276998146961009,0.00353175415292712,0.00327643007081968,0.00377228050877193,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.206312346251073,0.262156289597229,1.28177002985075e-05,2.22537337278107e-06,2.7215504587156e-06,1.00577341696535e-05,1.46142885245902e-05,1.06623190383366e-05,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.694423939907176,0.728929477293868,0.000460222773134328,0.00034509939408284,0.00057546234690367,0.00118377853464755,0.000491485070819672,0.000753580059129304,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.546963612553827,0.604162421709783,1.27695808955224e-05,3.1394023668639e-06,5.3235372706422e-06,7.79619593787336e-06,3.47563147540984e-06,1.10459584145549e-05,FALSE
"RSV_genus475","Gemella","Firmicutes",2.2905271851682e-51,1.43370034923491e-50,0.046192850121194,0.0586358160573965,0.0502711912402523,0.0444179932204301,0.0432265390222951,0.0441590287322937,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",0.0098950170654984,0.0156285783557872,0.000229376863283582,0.000236974708284023,0.000129739166857798,0.000228703420549582,0.000160338963934426,0.000139849975308642,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",7.07419692996679e-115,2.39107856232877e-113,0.00163673489432836,0.00301588259408284,0.00219766050516055,0.00146351329749104,0.00165524318819672,0.00178446084860299,TRUE
