"OTU","Genus","Phylum","p_value","p_adj_BH","control","Heart.failure","in_top_panel"
"RSV_genus251","Parabacteroides","Bacteroidetes",0.20845720678775,0.475041279707837,6.59804029090909e-05,1.02113723404255e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.540616191761516,0.755075507501622,0.0189265405999999,0.0191100339893617,FALSE
"RSV_genus255","Tannerella","Bacteroidetes",0.765145743737913,0.864665201215104,0.001140682888,0.00170531704255319,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.00222394467771036,0.0341678773211865,0.0231263851381818,0.0192469211914894,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",0.0497472633992065,0.23353576429072,0.0269819593796364,0.0226971503085106,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.0213594260896234,0.138836269582552,0.002038417492,0.00141633408510638,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.158262177473021,0.420902841566371,0.00556697774036365,0.00649921288297872,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.611757011533638,0.796104095396849,0.079268885846909,0.0823729346382979,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.676437143601194,0.835345691729908,0.000210420472363636,4.83377978723404e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.481382921379771,0.71217502568027,0.000133819138909091,1.78968085106383e-06,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.360316857613104,0.621805121511755,2.83582345454545e-05,5.47143723404255e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",0.00378794045579423,0.0456729578494263,0.00472671352727272,0.00197960317021277,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.511304893573263,0.733204326971344,0.00313383203781819,0.00290585394680851,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.364252704317537,0.621805121511755,1.53993483636364e-05,1.05144574468085e-05,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.915634014613415,0.949338334169737,0.00128637445490909,0.0016995070212766,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.0327722469385748,0.178661604278037,7.19863090909091e-06,2.43598191489362e-05,FALSE
"RSV_genus475","Gemella","Firmicutes",0.169357356369901,0.420902841566371,0.0474360664145454,0.0432507838723404,FALSE
"RSV_genus494","Staphylococcus","Firmicutes",0.126652377363579,0.369038823697325,0.000291499650909091,0.000450742457446808,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",0.410501864996041,0.659630121851066,0.00151395832145455,0.00171085376595745,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.0517567800377479,0.236402589902146,3.40007927272727e-06,9.2101170212766e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.786882600613914,0.864665201215104,0.0226921214825455,0.0225049282234043,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",6.75230309281198e-05,0.00239784968585314,0.00465615702872727,0.00993653337234043,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.343610693813597,0.617768162281893,3.07296261818182e-05,1.05639680851064e-05,FALSE
"RSV_genus525","Weissella","Firmicutes",0.395763550430282,0.655725882575663,0.000125008264,3.9355670212766e-05,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.205900533359131,0.475041279707837,0.000145915523636364,0.000186757446808511,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.940686335064223,0.969365796499108,0.314954038696,0.314781739085106,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.308040844455351,0.559773147451121,2.61234563636364e-05,2.35663510638298e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.910853870095782,0.949338334169737,5.93250654545454e-06,1.19006595744681e-05,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",0.098102763551424,0.328582592772124,0.000291873706545454,0.000220521606382979,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",0.0037848597859898,0.0456729578494263,9.77305585454545e-05,0.00011814279787234,TRUE
"RSV_genus561","Anaerococcus","Firmicutes",0.000308359800389855,0.00744468660941222,4.62562189090909e-05,6.99509574468085e-05,TRUE
"RSV_genus562","Ezakiella","Firmicutes",0.0762205113656113,0.292756055017916,3.32202716363637e-05,9.05989361702128e-06,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.0442653756318409,0.217126215491838,4.25314323636364e-05,0.000188792031914894,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.295392016030297,0.556187085307499,2.91351349090909e-05,4.70236170212766e-06,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.966115638932359,0.980523400439256,0.00488086447418182,0.00596256940425532,FALSE
