"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoked","X1.3.per.day","X4.6.per.day","X7.10.per.day","X11.20.per.day","X20..per.day","in_top_panel"
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.39061245808163,0.478358734897068,0.000969396330523513,0.000509185333333333,0.000282888527363184,0.000248932034482759,0.00199611526779661,0.00222698283116883,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.114406341293017,0.165253604089914,1.86713930789707e-06,3.25252525252525e-07,1.10978258706468e-05,3.07896551724138e-06,3.32198813559322e-05,3.64948051948052e-06,FALSE
"RSV_genus475","Gemella","Firmicutes",1.50807206226429e-50,3.18580223153331e-49,0.052840731390417,0.0408172681212121,0.0366511154278607,0.0301209087801724,0.0287068149016949,0.0266781336493506,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",0.00267816463681564,0.00554473352414431,0.000239518891304348,0.000491594994949495,0.00027338776119403,0.000675101426724138,0.000613277322033898,9.40673766233766e-05,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",8.30703952059551e-28,8.25817458223907e-27,0.00182982748580302,0.00155394063636364,0.00130667746766169,0.00091526173275862,0.000759879962711865,0.000908938116883117,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.0419604929516352,0.0695227775375133,3.14629103815439e-06,8.76514646464647e-06,0,5.62801293103448e-06,4.88477966101695e-07,4.46544155844156e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.701383261700801,0.769699813165164,0.0230559412573203,0.0244156822676768,0.0225958840845771,0.0265815644827586,0.0223542166745763,0.0234055663506493,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",6.12240865018075e-71,3.44895687293516e-69,0.00239028304037267,0.00810812538888889,0.0130323545721393,0.0125606440818966,0.0170780696542373,0.0184825105454545,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.895220201931814,0.933902556336276,3.11511384205856e-05,1.68532828282828e-06,1.8193631840796e-06,2.68121551724138e-06,2.41690745762712e-05,4.22523376623377e-05,FALSE
"RSV_genus525","Weissella","Firmicutes",0.661494747289976,0.735477712447408,0.000150916249334516,3.30112121212121e-06,1.98628855721393e-06,1.52244396551724e-06,1.75575152542373e-05,7.66846753246753e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.073327477197126,0.113691226112975,4.90347839396628e-05,2.28472525252525e-05,7.64154129353234e-05,7.40933103448276e-05,0.00123200708813559,0.000459250792207792,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.0309763081626494,0.052878748277654,0.315025599921916,0.31354888940404,0.331348711119403,0.336643552564655,0.330016774827118,0.31131174525974,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.00496666725033965,0.00987490312126353,1.97862222715173e-05,0.000405483994949495,1.30886517412935e-05,7.50620172413793e-05,0.00016342680338983,1.6073051948052e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.181506957593861,0.241532880577657,4.42500532386868e-06,4.50198484848485e-06,5.56548258706468e-06,1.83665215517241e-05,2.31194915254237e-06,0,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",0.00295900025507183,0.00595322670365643,0.000255848948535936,0.000326811843434343,0.000377404925373134,0.000330567935344828,0.000270134525423729,0.000273935805194805,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",4.85940792256308e-21,3.57060843005722e-20,7.18799205856255e-05,7.51883181818182e-05,0.000150647572139304,0.000171374004310345,0.000183592654237288,0.000196058584415584,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",9.97337697308034e-06,2.80916784741763e-05,4.41413043478261e-05,6.66687575757576e-05,7.85241293532338e-06,0.000176374620689655,0.000154566227118644,4.97636623376623e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",2.86425384743042e-06,8.80107091301348e-06,2.67324667258208e-05,4.6483898989899e-05,5.16448109452736e-05,5.40460948275862e-05,7.97778745762712e-05,2.78903896103896e-06,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.000471573981998229,0.00106261337276934,6.9908727595386e-05,1.86435858585859e-05,2.74445721393035e-05,6.23219224137931e-05,7.72400847457627e-05,6.25095194805195e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.00179944398181823,0.00389879529393949,1.91618136645963e-05,3.9641494949495e-05,7.40733731343283e-05,5.15342672413793e-05,9.2271220338983e-06,3.76642857142857e-06,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.000390403687301662,0.000903811276081929,0.00465643598225377,0.0045705131010101,0.00564552631343284,0.00553005269827586,0.00631231633220339,0.0056293691038961,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",9.24483986560027e-12,3.8106778958206e-11,3.76426685891748e-05,0.000166415207070707,3.93223432835821e-05,0.000148393172413793,8.22154033898305e-05,6.7465025974026e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.00161136525848148,0.00356608616626166,2.50979787045253e-05,7.64128535353535e-05,2.4301223880597e-05,3.07801594827586e-05,2.73929762711864e-05,4.05348051948052e-06,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",0.0164675955241995,0.0296066345062736,0.000104987639751553,0.00011185802020202,0.000132907228855721,0.000144074530172414,0.000162153457627119,0.00011404587012987,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",6.21500040758717e-23,5.52807930990649e-22,0.000430911768411712,0.000555216439393939,0.00111654094527363,0.0010888780862069,0.000985413342372881,0.000963230012987013,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.0459989284778134,0.0754739700267035,0.0026763022595386,0.00226066492929293,0.00263878580099502,0.00285642693103448,0.00270769240338983,0.00252783506493506,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",1.2811821719816e-18,8.32768411788042e-18,0.00103382188198758,0.00160108406565657,0.00198028319402985,0.00208868025,0.00229903922033898,0.0020188398961039,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",1.04267464677397e-12,4.76248690012976e-12,0.00207412138021296,0.00176712295454545,0.00163129386069652,0.00160138007758621,0.00152602761355932,0.00128570711688312,FALSE
"RSV_genus589","Blautia","Firmicutes",0.388262006517627,0.478358734897068,6.84236375332742e-05,9.9616595959596e-05,8.39818407960199e-06,0.000311287357758621,1.42031728813559e-05,0,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",8.40949320239137e-16,4.18001279765924e-15,0.000227729652173913,0.000116440626262626,0.000139111457711443,0.000169490935344828,0.000117790189830508,0.000109121922077922,FALSE
"RSV_genus592","Catonella","Firmicutes",9.24096113822765e-06,2.64698717349233e-05,0.000820927347826087,0.000743396191919191,0.000672457721393035,0.000790882530172414,0.000733745274576271,0.00072476961038961,FALSE
"RSV_genus600","Howardella","Firmicutes",5.79472132728614e-40,8.90279913010326e-39,1.73823371783496e-05,2.44156515151515e-05,3.88263830845771e-05,4.40932629310345e-05,6.08013491525424e-05,5.68717012987013e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.0852766401149644,0.128676358744902,1.9542652173913e-05,0.000102241994949495,0,4.74604310344828e-06,5.01870813559322e-05,6.452e-06,FALSE
"RSV_genus603","Johnsonella","Firmicutes",1.14163606168896e-12,5.07727616909036e-12,0.000311653370008873,0.000175076757575758,0.00018120147761194,0.000122566892241379,0.00016081986440678,0.000120092675324675,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.0168058016916479,0.0298966366935631,0.00235475715217391,0.00206177402525253,0.00204831327860697,0.00206809466810345,0.00244888838644068,0.00211778654545455,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.0109301241657576,0.0205243442668116,7.80649596273292e-05,0.000636079595959596,6.76747263681592e-06,4.7205724137931e-05,0.000286022884745763,4.52765714285714e-05,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.16013750929451,0.218251927990099,5.92820146406388e-05,0.000139227075757576,9.19184427860697e-05,0.000106388056034483,5.70794610169491e-05,6.8737961038961e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",0.0131572188693681,0.0241692390100348,1.62801033717835e-05,2.68666161616162e-05,3.82621293532338e-05,1.66454568965517e-05,2.15408237288136e-05,1.58374285714286e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",2.75442780236307e-05,7.16151228614398e-05,0.00315840352883762,0.00264225853535354,0.00289727165671642,0.00274803763793103,0.00279010330847458,0.0025478854025974,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",1.66673997091004e-05,4.54321056586769e-05,0.000216204900177462,0.000173049525252525,0.000300450338308458,0.000359380461206897,0.00029677753559322,0.000256524805194805,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.601108057380635,0.684407102027313,0.00262899397471162,0.00246990474242424,0.00265598166666667,0.00269561532327586,0.0030927556779661,0.00262722211688312,FALSE
"RSV_genus644","Peptococcus","Firmicutes",2.07067241481627e-12,8.97291379753717e-12,0.000805862277284828,0.000570008181818182,0.000511287328358209,0.000615629112068965,0.000484728769491526,0.000346301948051948,FALSE
"RSV_genus646","Filifactor","Firmicutes",1.29169467600415e-07,4.28032157342553e-07,0.0014498244689441,0.00192004188888889,0.00214430443283582,0.00220765494396552,0.00243981469830508,0.00183014471428571,FALSE
"RSV_genus649","Peptoclostridium","Firmicutes",0.451665614492986,0.537545696121934,0.000315297643744454,0.000275883484848485,0.000242692552238806,0.000296050314655173,0.000344562884745763,0.000314522025974026,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",2.67251931212522e-21,2.05298074431437e-20,0.00393499345341616,0.00297175208585859,0.0025815044079602,0.00297126793103448,0.0025888572,0.00251604101298701,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.0791660656518605,0.120532117974454,1.56385093167702e-06,3.03220808080808e-05,2.17083582089552e-06,5.82883620689655e-06,3.30931627118644e-05,9.06493506493507e-07,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.363117408749504,0.451226779990193,0.00027003540771961,0.000537043863636364,2.94561393034826e-05,0.000423867004310345,0.000171600294915254,2.5500974025974e-05,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",8.4414258337922e-08,2.91143054267527e-07,4.69685314995563e-06,1.06928333333333e-05,4.3274328358209e-06,2.44573232758621e-05,1.67218610169492e-05,1.0722987012987e-05,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.0173669044540936,0.030572988049394,4.42916637089618e-05,0.000428856681818182,2.79776616915423e-06,4.41280129310345e-05,0.000128165901694915,1.90711558441558e-05,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.0415205855051972,0.0695227775375133,3.4812719609583e-06,7.64654090909091e-05,2.50273631840796e-06,3.91810344827586e-07,2.89565322033898e-05,1.37375194805195e-05,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",6.91642671802232e-10,2.59750247854616e-09,0.0017877286743567,0.00136561673737374,0.00143437405970149,0.00176167821551724,0.00131932428135593,0.00104540333766234,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.516127104301819,0.605732504354218,6.90831841171251e-05,6.34373737373737e-07,2.03724378109453e-06,3.04389224137931e-06,8.62383389830509e-06,2.48857142857143e-06,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.000120530196026021,0.000295211639541994,6.99189503105591e-05,0.000810919383838384,1.73883233830846e-05,4.23943060344828e-05,0.00030725853559322,6.30939090909091e-05,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.849803465277804,0.897604910199681,8.18610408163265e-05,8.36123232323232e-06,1.04322288557214e-05,0.000206116887931034,1.51729559322034e-05,3.84667532467532e-06,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.0577622493360949,0.0929697155980956,4.68322670807453e-06,1.24539343434343e-05,2.28156517412935e-05,1.23341422413793e-05,2.18430847457627e-06,0,FALSE
"RSV_genus698","Bulleidia","Firmicutes",1.00484991098666e-42,1.69819634956745e-41,0.000289893358473825,0.000461705121212121,0.00059465444278607,0.000852268232758621,0.00086249386101695,0.00104911024675325,FALSE
"RSV_genus703","Eggerthia","Firmicutes",0.0287762688321272,0.0496243819656072,0.000124192449423247,0.000177997671717172,0.000148974303482587,0.000258016051724138,0.000176998027118644,0.000262894428571429,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.0750055827679535,0.115235849888947,1.48125776397516e-06,4.91414141414141e-07,6.07462686567164e-07,2.91450431034483e-06,3.0427186440678e-06,1.51038961038961e-06,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",8.93178022892174e-06,2.60253596325478e-05,6.64415212954747e-05,6.46067929292929e-05,0.00010559728358209,0.000114942163793103,0.000107298922033898,0.000113250571428571,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.00286869137720382,0.00584107039454753,6.38737000887312e-06,0.000145967742424242,1.50413930348259e-06,1.49908405172414e-05,7.59507186440678e-05,3.20003896103896e-06,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.00560178659703174,0.0108816314356134,0.002965478810559,0.00295673461616162,0.00292147043781094,0.00286136569827586,0.00274282425423729,0.00276550175324675,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.00207216229714895,0.00437744285272716,9.97405013309672e-06,0.000188795863636364,1.62253731343284e-06,1.37412715517241e-05,9.54336271186441e-05,3.45142207792208e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",4.15574942481139e-17,2.42179880273491e-16,0.000839074377994675,0.000806420984848484,0.0012907762238806,0.00157378241810345,0.00199659261694915,0.00241603780519481,TRUE
"RSV_genus728","Centipeda","Firmicutes",0.00162478482131448,0.00356608616626166,6.4232772404614e-05,9.93641060606061e-05,7.75109502487562e-05,8.77237931034483e-05,7.12412474576271e-05,0.000125359467532468,FALSE
"RSV_genus729","Dialister","Firmicutes",1.87589618337771e-07,5.98163122624214e-07,0.00238379387533274,0.00210864335858586,0.00327340675124378,0.00353966935775862,0.00319317488135593,0.00312798683116883,TRUE
"RSV_genus731","Megasphaera","Firmicutes",3.64333057680215e-17,2.19901024099844e-16,0.00476095922626441,0.00529063662121212,0.00743038532835821,0.00743285250862069,0.00716065418644067,0.00795422162337662,TRUE
