"OTU","Genus","Phylum","p_value","p_adj_BH","Female","Male","in_top_panel"
"RSV_genus1133","Campylobacter","Proteobacteria",4.50760012939609e-05,0.00012286845513999,0.00456632866877295,0.00477562334790528,TRUE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",0.0632375805918856,0.105813377426026,8.29724867509172e-06,9.82075652701882e-06,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",6.54217780119636e-08,2.51279101909587e-07,9.58122197309417e-06,1.61380760979559e-05,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",6.53408235918783e-06,1.97189271196918e-05,0.000525218946799836,0.0006325988065169,FALSE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.0168444067409693,0.0342976474605277,0.000670202061353445,0.000490873361667678,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.639789900036754,0.706696033373931,1.48457119853241e-05,0.00011167768629832,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.140871042038758,0.212564340219197,8.04234135752141e-05,5.74692999392835e-05,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",0.230095468550046,0.324051118207981,0.00498953238218509,0.00536144397207043,FALSE
"RSV_genus1229","Aggregatibacter","Proteobacteria",0.403894659418293,0.480691531279517,0.00548147572829188,0.00569252355009107,FALSE
"RSV_genus1233","Haemophilus","Proteobacteria",0.197415118216012,0.285155170756462,0.056978305983082,0.0560399043647034,FALSE
"RSV_genus1234","Mannheimia","Proteobacteria",0.0311669973574898,0.0585246950379531,0.00121200340705259,0.00146756769844161,FALSE
"RSV_genus1238","Acinetobacter","Proteobacteria",0.272139260507025,0.362138071068404,0.000597754180799022,0.000462325379680227,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",0.0217736335332245,0.0427877217106388,0.000300008404606604,0.000294325803481077,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",0.0572303536769845,0.0967192977141038,8.45138051365675e-05,7.91526128314106e-06,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",5.00363555179855e-08,1.96654513547431e-07,0.000716351575417857,0.000333569654523376,TRUE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.393924563507937,0.472150717963414,1.48517655931512e-05,3.69951507791945e-05,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.042344038589275,0.0769477690493277,0.000380344833265389,0.000161667106860959,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.113973507178606,0.17671121755215,2.45803872808806e-05,8.74748087431693e-06,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.00228226896831111,0.00500913578759193,3.92122103546678e-05,4.34025225662821e-05,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",5.6499326091459e-14,6.36559073963772e-13,0.00358503431879332,0.00483255394535521,TRUE
"RSV_genus1309","Fretibacterium","Synergistetes",5.82502801013462e-12,3.937718934851e-11,0.000465457403791277,0.00059384463084396,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",0.0017421630405278,0.00392567405132264,8.79803383611904e-06,1.89507822303177e-05,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",0.000110408979695605,0.000296176469342179,0.000175001481655116,0.000241466524185388,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",3.27229186723618e-05,9.06585779611334e-05,0.000552689868732163,0.00063128276867031,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.798829363222903,0.843763514904191,3.59833428454953e-06,3.94629609390812e-06,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.311507599645961,0.402693297545445,7.74201683652671e-05,0.000146702257235377,FALSE
