"OTU","Genus","Phylum","p_value","p_adj_BH","control","Tooth.decay","in_top_panel"
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.363425194509481,0.441862286849657,0.00112857258194365,0.000367284860860861,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.335920436187887,0.419123691336119,1.4030156986774e-05,1.9298978978979e-06,FALSE
"RSV_genus475","Gemella","Firmicutes",0.017563842154502,0.0291008757265768,0.0511491114864865,0.0467921486176177,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",0.102805635507134,0.14849702906586,0.000438632262794709,0.000106161882882883,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",0.00841292051016088,0.0161566314342862,0.00186988719838988,0.00161768092092092,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.223252553639244,0.295674662920622,4.14004140310523e-06,2.95559159159159e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.000420796280003287,0.000948194284274073,0.0249023802248419,0.02286274503003,TRUE
"RSV_genus519","Lactobacillus","Firmicutes",3.75857451740047e-43,3.343153123372e-42,0.00341101085221392,0.00777224240340341,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.960616665143832,0.966334621483974,1.42927774583094e-06,1.30357957957958e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.714289207471109,0.754467975391359,0.000197626994249569,2.88624024024024e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.455407458999009,0.527149729937209,0.000170275361127085,0.000184403557557557,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.00360528336209807,0.00725348676422111,0.332391800213341,0.31818014281982,TRUE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.0128931438168839,0.0229362242637197,5.92935330649799e-05,8.66386746746747e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.00472116246328456,0.00927763321273361,9.89881196089707e-06,2.05880740740741e-05,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",2.53658216917223e-62,4.28682386590106e-61,7.07083726279471e-05,0.000371787061061061,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",7.19598178371967e-99,1.21612092144862e-96,1.71771213341001e-05,0.000176036028028028,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.275439293488597,0.355337714500556,0.000100423581368603,2.18666646646647e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",4.33234473955303e-20,1.78577136825478e-19,7.69559229442208e-06,4.69598998998999e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.562167507449991,0.63337539172699,8.22715048878666e-05,1.95571731731732e-05,FALSE
