"OTU","Genus","Phylum","p_value","p_adj_BH","X150.184.","Below.50.","X50.99.","X100.124.","X125.149.","X185.199.","X200..and.Over","in_top_panel"
"RSV_genus203","Senegalimassilia","Actinobacteria",0.153253276760968,0.235427928265947,7.65496805111821e-07,9.31726204465335e-07,2.9685937300064e-06,1.28092307692308e-06,1.02226548672566e-06,0,7.05101862768215e-07,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.000360329254992853,0.000895524177849886,1.55516166134185e-05,1.00518730904818e-05,1.32990127959053e-05,1.15990366863905e-05,1.10278244837758e-05,8.75102202643172e-06,1.15520629568498e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.504066532207854,0.599910168613573,0.00283902812779553,0.0019472546239718,0.00128628199808061,0.000723084843786983,0.00169999169321534,0.00411170645814978,0.00129855506272106,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",1.81231536007487e-23,2.18772354180466e-22,0.000155500674121406,0.00011273347826087,0.000131725597568778,0.000114145675739645,8.2821994100295e-05,8.38074273127754e-05,6.56830971468992e-05,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.0921966760305061,0.152757237736819,7.05504632587859e-06,0.000112226475910693,0.000283672708253359,1.01686639053254e-05,6.7633505899705e-05,0.000261470365638767,6.73695163876445e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",1.52369056405187e-14,1.11958132749898e-13,2.90265015974441e-05,3.76222373678026e-05,2.82813160588612e-05,3.09815786982249e-05,2.71034749262537e-05,5.53619691629956e-05,1.16196373496817e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.811829319791909,0.852168664874737,2.99494297124601e-05,5.33876615746181e-05,4.50558438899552e-05,1.64786130177515e-05,0.000141810019174041,5.69674713656388e-05,3.51887797689224e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",1.89815227720921e-14,1.33545534113007e-13,0.0202405230511182,0.0178642274383079,0.0183883634504159,0.0187861669810651,0.0167480827817109,0.016681073185022,0.0151909690264089,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",1.0614827167934e-11,5.27619350406131e-11,0.00114554103354633,0.000978430520564042,0.00108576715291107,0.00109508963668639,0.00103180031858407,0.000882143969162996,0.000878225847913227,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",1.11659822934694e-07,3.62894424537754e-07,0.0239007839936103,0.0248481589189189,0.0228992455674985,0.0232466871420118,0.0226292237831858,0.0193215311762115,0.020257159572978,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",0.0177169497479467,0.0344156839931379,0.0272600014265176,0.0234073385440658,0.0249953989257837,0.0245962884639053,0.0247601792359882,0.023015828814978,0.0234660481535015,TRUE
