"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoked","X1","X2","X3","X4","X5","in_top_panel"
"RSV_genus519","Lactobacillus","Firmicutes",5.68000434062451e-72,3.19973577855181e-70,0.00239028304037267,0.00131940970833333,0.0036641708,0.00623631498461538,0.00881092115555555,0.0161953868628495,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.357501612016623,0.428857065589463,3.11511384205856e-05,0,7.59468e-06,1.24499076923077e-05,0,1.40023408788282e-05,FALSE
"RSV_genus525","Weissella","Firmicutes",0.591184608621969,0.653142807566493,0.000150916249334516,0,0,0,9e-07,9.44741944074567e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.0150189917108776,0.0270022297780672,4.90347839396628e-05,3.827875e-06,1.490976e-05,6.48302461538461e-05,4.02787111111111e-05,0.00056872041011984,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.0116728118371849,0.0212118838761747,0.315025599921916,0.326599536354167,0.3048193366,0.292600653184615,0.324309688055556,0.332064204545939,TRUE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.0441846856200101,0.074672118697817,1.97862222715173e-05,2.0868625e-05,2.75356e-05,3.82892923076923e-05,1.83526888888889e-05,0.000190759720372836,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.000102423015230599,0.000258350590656287,4.42500532386868e-06,1.552525e-05,3.825078e-05,2.24893846153846e-06,0,5.52487483355526e-06,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",0.00264675398742954,0.00566204334019737,0.000255848948535936,0.000227537791666667,0.00033150548,0.000489085553846154,0.000271966533333333,0.000311953396804261,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",1.56145523556015e-23,1.3888733411035e-22,7.18799205856255e-05,8.28497916666667e-06,6.472802e-05,9.07156461538462e-05,0.000153666477777778,0.000174197046604527,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",6.5287165793529e-06,1.75135413001689e-05,4.41413043478261e-05,1.41942916666667e-05,0.0002385263,1.63198923076923e-05,6.30923333333333e-06,0.000121025612516644,FALSE
