"OTU","Genus","Phylum","p_value","p_adj_BH","control","Asthma","in_top_panel"
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.762376737333361,0.831236571673149,0.00128637445490909,0.000644873218586387,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.15271192177192,0.271666471362679,7.19863090909091e-06,2.35945863874346e-05,FALSE
"RSV_genus475","Gemella","Firmicutes",0.651253942324498,0.764318862866945,0.0474360664145454,0.0471766971073298,FALSE
"RSV_genus494","Staphylococcus","Firmicutes",0.00411885239856897,0.015468579007959,0.000291499650909091,0.000403180197643979,TRUE
"RSV_genus499","Abiotrophia","Firmicutes",0.00525439613609047,0.0188934669574317,0.00151395832145455,0.00191423557329843,TRUE
"RSV_genus510","Dolosigranulum","Firmicutes",0.0828444893401277,0.170740471932702,3.40007927272727e-06,4.17699214659686e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",9.78838656098221e-05,0.000636245126463844,0.0226921214825455,0.0253585484410995,TRUE
"RSV_genus519","Lactobacillus","Firmicutes",1.18651815644006e-06,3.02977112443983e-05,0.00465615702872727,0.00752518979319372,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.0592486588770674,0.135311126354384,3.07296261818182e-05,4.17643455497382e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.966377280878685,0.972129526598201,0.000125008264,5.16275392670157e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.19667588917295,0.335739649194228,0.000145915523636364,0.000156405812827225,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.0196929387525718,0.0564085872743157,0.314954038696,0.324363384891361,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.433045336050759,0.591985759139204,2.61234563636364e-05,6.9461670157068e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.587339663265173,0.724528489721272,5.93250654545454e-06,3.57216662303665e-05,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",4.36886361758546e-08,2.46112650457314e-06,0.000291873706545454,0.000234484329842932,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",0.194086255724379,0.335739649194228,9.77305585454545e-05,8.62742382198953e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",4.52772472576732e-05,0.000370215265067185,4.62562189090909e-05,0.000104172594240838,FALSE
"RSV_genus562","Ezakiella","Firmicutes",0.00189709519044402,0.00801522717962597,3.32202716363637e-05,1.96536793193717e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.00282334654680045,0.011096408521146,4.25314323636364e-05,5.51735392670157e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.0189105828492866,0.0564085872743157,2.91351349090909e-05,5.64299083769634e-06,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.0011528936438266,0.0054121951612971,0.00488086447418182,0.0046182405013089,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",0.418580035984948,0.591985759139204,5.55397138181818e-05,5.61987133507854e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.062762074316537,0.139563033677563,2.34220389090909e-05,2.10301636125654e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",4.05214314494422e-06,6.22556537723249e-05,0.000122288470545455,0.000107056777486911,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",9.57436571995205e-05,0.000636245126463844,0.000612991496,0.000526243352094241,TRUE
"RSV_genus580","Mogibacterium","Firmicutes",3.70134987775853e-05,0.000329225331232206,0.0027886959629091,0.00238265764659686,TRUE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",0.0307903729202758,0.0776760868146017,0.00138371456763637,0.00136183778534031,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",3.72143067155219e-07,1.25784356698464e-05,0.00201779577890909,0.00163521331675393,TRUE
"RSV_genus589","Blautia","Firmicutes",0.452931166461527,0.602719426236205,8.54126418181818e-05,4.56860719895288e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",2.69127581675641e-05,0.000252680896128797,0.000205211633454545,0.000176415486910995,FALSE
"RSV_genus592","Catonella","Firmicutes",0.000495188696426306,0.00269957708696922,0.000813160207272726,0.00069779037434555,TRUE
"RSV_genus600","Howardella","Firmicutes",0.407003605063481,0.582911942845155,2.33663727272727e-05,2.53250091623036e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.46294366358505,0.609398335326133,1.59304534545455e-05,2.13730013089005e-05,FALSE
"RSV_genus603","Johnsonella","Firmicutes",3.0913148861561e-06,5.22432215760381e-05,0.000279289325818182,0.000204838472513089,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.0398882264516376,0.0963015752903823,0.00237362119781819,0.00236928445680628,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.690316024339532,0.789023139682961,7.09257396363636e-05,0.000131217113874346,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.0947460278747001,0.19061998465267,6.33122785454545e-05,8.73107578534031e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",0.116900444667443,0.221979496053909,1.83195898181818e-05,1.41298664921466e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.000865968342188586,0.00443480757060215,0.00314229164254546,0.00288660726701571,TRUE
"RSV_genus630","Shuttleworthia","Firmicutes",0.306400634413709,0.470742792871972,0.000225955662909091,0.000198653226439791,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.0009986692018309,0.00496397338557124,0.00271194196036363,0.00249400267015707,TRUE
"RSV_genus644","Peptococcus","Firmicutes",3.32895947472681e-08,2.46112650457314e-06,0.000766790306181818,0.000572245022251309,TRUE
"RSV_genus646","Filifactor","Firmicutes",3.68803171625096e-07,1.25784356698464e-05,0.00177999798436364,0.00124481104319372,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",6.8910846033294e-05,0.000506344912157682,0.000323414414909091,0.000267715179319372,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",1.22918892942177e-09,2.07732929072279e-07,0.00377935172218182,0.00275698167670157,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.134489448183639,0.247051268946032,4.18216e-06,4.94674476439791e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.760186167031857,0.831236571673149,0.000258349682909091,0.000215084018324607,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.492954263587992,0.632361118299609,8.09415563636364e-06,5.58722643979058e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.0815848010217091,0.170220140403319,5.19878407272727e-05,0.000578591341623036,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.68360807493316,0.789023139682961,3.77913236363636e-06,1.30126439790576e-05,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",6.76955116090184e-06,7.62702764128274e-05,0.00175679964290909,0.0013530887408377,TRUE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.077700474193961,0.164142251734743,5.6218584e-05,1.00212630890052e-05,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.228767252376921,0.379035937761761,6.18209149090909e-05,0.000120417956806283,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.313687314260928,0.473331750983007,8.21314705454546e-05,3.53597866492147e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.000181657303734889,0.00109643158325701,7.71322327272728e-06,6.58722513089005e-07,FALSE
"RSV_genus698","Bulleidia","Firmicutes",0.295749801172249,0.462793670352871,0.000427376124,0.000522444146596859,FALSE
"RSV_genus703","Eggerthia","Firmicutes",1.06327828798993e-05,0.000112308769168936,0.000147434732,0.000110586721204188,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.434356414989712,0.591985759139204,1.87242654545455e-06,7.68339005235602e-07,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",0.00682983547245354,0.022196965285474,7.46250447272727e-05,6.80223782722513e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.751658167036932,0.831236571673149,4.84193818181818e-06,2.92752905759162e-05,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.161654833514234,0.284579863165683,0.00292363480872727,0.00271106694633508,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.933751548094505,0.950626576072116,9.77072036363636e-06,3.8725222513089e-05,FALSE
