"OTU","Genus","Phylum","p_value","p_adj_BH","Married","Divorced","Living.with.Partner","Never.Married","Separated","Widowed","in_top_panel"
"RSV_genus256","Alloprevotella","Bacteroidetes",1.67897322571199e-26,5.45450467528343e-25,0.0197511034468455,0.0168263601847704,0.0241870073320261,0.0239284175279107,0.0219124949262821,0.0160552538581818,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",1.1702687169264e-14,7.45055778327608e-14,0.0242823585265772,0.0221151973695409,0.0258044697555556,0.0262924616751728,0.026897562400641,0.0186327473927273,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",5.87427251615236e-10,2.48188013807437e-09,0.00160232354321908,0.00145198622396417,0.00288888170849673,0.00222383785326954,0.00165747755448718,0.00122034168,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",4.21821030686638e-06,1.1138711591569e-05,0.00626858410705414,0.00603727383762598,0.00509466780784313,0.00516599313609781,0.00559377703846154,0.00674911492,TRUE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.483815610461695,0.58823624581314,0.0793441390461996,0.0795417872217245,0.0779517615346406,0.0775764640643275,0.0789961280961538,0.0837808591745454,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.128415962286338,0.190371031810448,0.000129032458271237,1.1859993281075e-05,9.99000509803922e-05,0.000127095869218501,8.18160897435897e-06,4.27105818181818e-06,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.914499898921009,0.936669593440306,7.47302610531545e-05,1.05673068309071e-05,4.5818139869281e-05,3.45070696438065e-05,4.98034615384615e-06,3.19381018181818e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",4.36312901104366e-07,1.31673000511853e-06,1.73189940387481e-05,3.88012217245241e-05,3.58700248366013e-05,3.34086390217969e-05,4.79553942307692e-05,2.32373490909091e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",3.16801639380195e-11,1.57469050162509e-10,0.00396444722106309,0.00271836757110862,0.00416796956862745,0.00543617546305157,0.00354557282692307,0.00354246050909091,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.000257916270592907,0.000573524338555279,0.00338619515176353,0.00299917448264277,0.0025197906496732,0.00335692167304625,0.00296828194230769,0.00305350309090909,TRUE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.211836092408707,0.293445078828455,1.11101847988077e-05,4.58547480403135e-06,1.18362483660131e-06,5.4554922913344e-06,1.19307051282051e-06,7.77631018181818e-05,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.045006021716571,0.0731347852894279,0.000904047157973175,0.000236672685330347,0.000511858069281046,0.000659540586921851,0.000151179733974359,0.000490986469090909,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.719928875255641,0.783086262681877,9.7327128663686e-06,1.00551948488242e-05,4.78484836601307e-06,6.12070919723551e-06,2.13064423076923e-06,7.35557090909091e-06,FALSE
"RSV_genus475","Gemella","Firmicutes",0.0696921529447499,0.110074521940773,0.0458122484880774,0.0448112662967525,0.0428029477555556,0.0480539034120149,0.0443793658205128,0.0421540902109091,FALSE
"RSV_genus494","Staphylococcus","Firmicutes",0.497168824038793,0.600153794732543,0.00018295334898162,0.000102225698768197,0.000125347777777778,0.000241951925571504,0.000113662791666667,0.000140886421818182,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",0.00521531085091998,0.00968557729456567,0.00171505667685047,0.00162449285890258,0.00164433463921569,0.00192809494311536,0.00171804480128205,0.0018822486,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.641112190362067,0.722319734474595,2.28631122702434e-06,1.61675363941769e-06,4.26306405228758e-06,2.08301594896332e-06,1.01960897435897e-06,0,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.181561385888645,0.257847682480512,0.0237894591472926,0.0241441771142217,0.0235569643568627,0.0254527701116427,0.0225433261666667,0.0248869429127273,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",3.95760383507512e-15,3.18492880060807e-14,0.00411795834153005,0.00849498474468086,0.00627823615555556,0.00445842477671451,0.00679604596474359,0.0113597860509091,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.714872954315156,0.783086262681877,1.78245479384004e-05,1.07961478163494e-06,1.69709699346405e-05,2.76853854332802e-06,1.09875833333333e-05,9.05263272727273e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.0729718829347192,0.114187483481181,8.52923303527074e-05,1.90885330347144e-06,1.32005751633987e-06,9.76312174375332e-06,8.00717980769231e-05,1.50617636363636e-05,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.566195534329601,0.67289265578704,0.000101465617237953,0.000197790941769317,2.89927019607843e-05,3.53665566188198e-05,4.08870032051282e-05,9.40039854545454e-05,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.0342293755018728,0.0567133770570245,0.32235922368604,0.330683096365062,0.311952132512418,0.319389613591707,0.312065835455128,0.311324357912727,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.591404837139436,0.6940792880317,2.88683278688525e-05,3.97262452407615e-05,9.0308354248366e-05,9.20396220095694e-05,7.28916057692308e-05,4.64724072727273e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.679252950129563,0.750285938378406,9.20123298559364e-06,6.13945912653975e-06,4.45318039215686e-06,4.72695215311005e-06,0.000191389326923077,1.05054545454545e-06,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",1.93651053560359e-26,5.45450467528343e-25,0.000217463611525087,0.000236844157894737,0.000386454337254902,0.000253532656034024,0.000350816262820513,0.000216078934545455,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",4.85811519388295e-19,6.84184556471849e-18,7.16954470938897e-05,9.52182900335946e-05,0.000139062505882353,8.63305794790005e-05,0.000143416355769231,8.52781527272727e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.0110102040446538,0.0197949413143244,3.11491820665673e-05,4.2516562150056e-05,1.98840130718954e-05,3.3214288676236e-05,2.19405416666667e-05,3.53092654545455e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",1.42908409315289e-07,4.83030423485678e-07,1.92433315946349e-05,3.03489406494961e-05,5.14696091503268e-05,3.21969138755981e-05,4.52710897435897e-05,1.25599127272727e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",5.65346535255315e-06,1.4476297645174e-05,2.62027747143567e-05,1.90427458006719e-05,2.32751111111111e-05,2.58587155768208e-05,3.96944647435897e-05,0.000190272283636364,FALSE
"RSV_genus566","Murdochiella","Firmicutes",7.28691754628924e-13,4.10496355107627e-12,1.04093380526577e-05,1.92232508398656e-05,5.67256888888889e-05,4.79779526847422e-05,4.90241314102564e-05,7.85352727272727e-06,FALSE
"RSV_genus568","Parvimonas","Firmicutes",1.32994932360607e-12,7.25036889320731e-12,0.00491219068057624,0.00586952437849944,0.0061169534013072,0.0051119163476874,0.00729214884935897,0.00462415400727273,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",0.00107935242050153,0.00228013198830948,4.20427729756582e-05,3.68793449048152e-05,4.61395607843137e-05,3.93020552897395e-05,7.6029016025641e-05,2.76618690909091e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",8.67361699969229e-06,2.15564893080588e-05,9.29004595131644e-06,1.44860414333707e-05,4.06467725490196e-05,2.99911244019139e-05,2.31242724358974e-05,3.39291781818182e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",2.16093440019649e-24,4.56497392041508e-23,8.99746706408344e-05,0.00010201470324748,0.000153826766013072,0.000126782671451356,0.000132140125,6.07988290909091e-05,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",1.65548218663388e-26,5.45450467528343e-25,0.000462132119721808,0.000503203368421052,0.000929880151633988,0.000584486677299308,0.000879365868589744,0.00038483592,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.00131198651042837,0.00273735457114067,0.00267351876453054,0.00260303290033595,0.00286297742222223,0.00250299007070707,0.00268466172435897,0.00254934836727273,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",1.07643096003012e-14,7.27667328980359e-14,0.00117573047118728,0.00128073277267637,0.00164165877385621,0.00122944696438065,0.00166066812179487,0.000955718676363636,TRUE
