"genus","cluster","phylum","mean_abundance","sd_abundance","age_group_14-19","age_group_20-24","age_group_25-29","age_group_30-34","age_group_35-39","age_group_40-44","age_group_45-49","age_group_50-54","age_group_55-59","age_group_60-64","age_group_65-69"
"Eggerthia","d","Firmicutes",1.21115239050017e-16,1,-1.4420712894129,0.138194438412902,1.32092569691511,0.628713850439018,1.46825818005625,1.01846159611619,-0.284787496744435,-0.375717632157122,-0.404160261843446,-0.884553480130006,-1.18326360165156
"Erysipelotrichaceae_UCG-006","d","Firmicutes",2.22044604925031e-16,1,-0.989290871107615,1.18183979582649,1.63342621768149,0.737817124542288,0.660411152807881,0.429521569736813,0.0494848351618984,-0.462466501652518,-0.910233693342631,-1.04078730032728,-1.28972232932681
"Anaeroglobus","f","Firmicutes",-7.46877307475105e-16,1,-2.69112252574967,0.304269595406437,0.23287443616579,0.687769407743815,0.632128699417101,0.402075220271969,0.165325539572149,0.941687999229559,0.263297948571679,-0.192451948926818,-0.745854371702019
"Dialister","d","Firmicutes",3.43159843975048e-16,1,-1.71555212987041,0.61909930128485,1.60107276286588,0.961007658472898,0.413261621032176,0.637596796434752,0.232810211961145,-0.0986498640995726,-1.01122397003332,-0.520584799583796,-1.11883758846459
"Megasphaera","h","Firmicutes",1.61486985400023e-16,1,-1.35148658395737,-0.727311843232522,-0.811866452897145,-0.342539296003385,-0.679653396742556,-0.273100504102782,0.00335930695204058,0.292474940241326,0.741950026039231,0.965816115740508,2.18235768796266
"Selenomonas","f","Firmicutes",2.62416351275037e-16,1,-2.20525839399363,0.0313127871899261,0.314699607919808,0.978748021635046,1.10995260259031,1.21857451820969,-0.0810054804111546,0.428914994369757,-0.444939524769143,-0.849930478605028,-0.501068654135581
"Selenomonas_4","d","Firmicutes",8.07434927000114e-16,1,-1.87433872211827,0.804756755778547,1.05027005476051,0.678856343018072,0.956040404706056,1.09608319095842,-0.00957977070414063,-0.198445605631249,-0.808689951113251,-0.969975298835471,-0.724977400819216
"Veillonella","i","Firmicutes",2.70490700545038e-15,1,0.506881326188807,0.23908049606539,-0.638406120840939,-0.401252529613038,-1.30554272532117,-1.53798675973816,-0.8523112421103,0.546454400843031,0.949486287743859,1.32398990276921,1.16960696401334
"Fusobacterium","d","Fusobacteria",-2.40211890782534e-15,1,-1.19556261326819,0.823699143744396,1.42909846085678,0.634365197270973,0.511663302818754,0.78848511160563,0.324588248430004,-0.0902926701495116,-0.266968220049839,-1.4565985247248,-1.50247743653423
"Leptotrichia","h","Fusobacteria",-8.27620800175117e-16,1,-1.01319210387685,-1.14611376800886,-0.761438247721518,-0.0176272555550541,-0.60468565512731,-0.62612656697295,-0.105139456822502,0.0108733261515493,1.47114711777995,1.04389888371209,1.74840372644144
"Streptobacillus","c","Fusobacteria",-2.22044604925031e-16,1,1.77250873501058,1.70520215762191,0.851144861669597,-0.152597143778838,-0.0577890590295696,-0.310079745108674,-0.547615473833151,-0.771290161089671,-0.726500486665365,-0.629851240431616,-1.13313244436521
"Lautropia","c","Proteobacteria",4.03717463500057e-17,1,2.26491880479599,1.21100100218591,0.506555072226754,-0.271301438501498,0.276272707518398,-0.562136958968896,-0.433380510035369,-0.405958251691928,-0.661069427299285,-0.823100558515156,-1.10180044171492
"Ralstonia","g","Proteobacteria",1.00929365875014e-17,1,-0.572216371936872,-0.564873776951074,-0.662713512491728,0.22787247760596,2.23864640644847,-0.114845430704672,-0.674350235405406,-0.339513643285452,1.6023118035135,-0.411949107132403,-0.728368609660317
"Curvibacter","c","Proteobacteria",-4.39042741556312e-16,1,1.42167221495444,1.59288021595421,0.1888637753668,0.555706312726287,0.0430034165891775,-0.89198924972019,0.539471880469971,-0.738545418287921,-1.61894526617536,-0.896618372577711,-0.195499509299705
"Alysiella","d","Proteobacteria",3.02788097625043e-16,1,-0.49075843817189,-0.585691010217302,1.00034873259493,1.72263628260198,1.14564051532627,0.430613467335124,-0.146101364983893,-0.0915991617368235,-1.64506950347506,-0.272383769663842,-1.0676357496095
"Eikenella","e","Proteobacteria",-1.21115239050017e-16,1,-0.461589362043189,0.2927231248398,-0.989969271301068,2.70127100608608,-0.0111891875869915,-0.404515249497202,-0.0714248990930853,0.413750407469181,-0.0151226282312949,-0.610552022946278,-0.843381917695951
"Kingella","h","Proteobacteria",5.04646829375071e-17,1,-0.69839528250672,-0.760931519092982,-1.15964360935787,-0.225195792752948,0.305228588721609,2.01537072022851,0.387867913045578,-0.39984473567006,1.5695530148377,-0.324059624316951,-0.709949673135865
"Neisseria","i","Proteobacteria",1.49375461495021e-15,1,0.616285118412137,-0.717958417594309,-0.403972536199635,-0.978565810784766,-1.27618645172675,-0.67626989666799,-0.430952838144872,0.101794992040724,0.716084880313992,1.00591451521737,2.04382644513412
"Desulfobulbus","f","Proteobacteria",-2.52323414687536e-16,1,-2.14373106505985,-1.25858484497118,-0.0999929403682905,0.335822041739975,1.05572604075655,1.09495968678464,0.654931331038135,0.751885860907345,0.344908714341795,-0.374670484682573,-0.361254340486557
"Campylobacter","d","Proteobacteria",-5.6520444890008e-16,1,-1.73910570207206,0.767263686882105,0.644363797094329,1.43832000369198,0.644520385865115,0.97401382882049,-0.142236200138658,0.0369666246717627,-0.514339299960762,-1.17115467931632,-0.938612445537986
"Cardiobacterium","g","Proteobacteria",4.03717463500057e-17,1,-0.230047915432897,-0.329195614186168,-0.436469061497638,-0.391747568610822,3.00517756961837,-0.37373958017529,-0.255560102828985,-0.207118411925642,-0.281996009858687,-0.173557438626314,-0.325745866475929
"Escherichia/Shigella","b","Proteobacteria",4.03717463500057e-17,1,0.889189694596672,0.0987433182954311,-0.7858702236644,-0.655823898956561,-0.653719663533272,1.18530900480972,2.21403052432895,-0.706841733721725,-0.567465365066629,-0.310901390207032,-0.706650266881148
"Actinobacillus","c","Proteobacteria",-7.16598497712601e-16,1,2.03328459532762,0.890529749164212,0.471152268610926,1.05633509439369,-0.0981038379791356,-0.402803337124286,-0.820632164633975,-0.48585237690524,-1.33937476940594,-0.586363095435823,-0.718172126012058
"Aggregatibacter","b","Proteobacteria",-1.49943189178068e-15,1,0.0947969710346286,2.22244728707882,-0.098546927171431,-1.05281758490079,-1.39575417086193,0.244241988271615,1.09462712045177,-0.16430541978935,-0.187292154541719,-0.813849693154288,0.0564525835826601
"Haemophilus","c","Proteobacteria",-4.03717463500057e-16,1,1.95224071739739,0.472954443482035,1.0120889136013,0.848451843445103,0.0712478948990621,-0.0137207508589302,-0.991454963846691,-0.562161426552148,-0.466163310792962,-1.16363158098508,-1.15985177978908
"Mannheimia","c","Proteobacteria",5.39972107431326e-16,1,2.2043885861399,0.71081067928255,0.604048460638953,-0.20689897675666,-0.0188945435499671,0.193638248112006,-1.56261014811673,-0.75117684588341,-0.349453566847027,-1.01291835088614,0.189066457866528
"Moraxella","c","Proteobacteria",-1.05345025632046e-16,1,2.17609487976773,1.49008523663407,-0.581073738543282,-0.92740370747672,-0.625087452017935,-0.75766311191884,-0.282258074861132,0.516906870592148,-0.456472080397673,-0.5711320441261,0.0180032223477344
"Treponema_2","d","Spirochaetae",6.66133814775094e-16,1,-1.63375190000085,0.104207476252183,0.651255568100076,1.48427121956203,0.694684471105456,1.28711105344939,0.124741662324937,-0.0944667871236188,-0.521922922159338,-0.875161572711644,-1.22096826879861
"Fretibacterium","f","Synergistetes",2.22044604925031e-16,1,-1.93333939627213,-0.0709501303175327,0.201379483895693,0.879439705576362,1.0683862788775,1.07499802189272,0.61562581078641,0.652775005231406,-0.418193600339849,-0.926824977915445,-1.14329620141513
"Mycoplasma","f","Tenericutes",3.02788097625043e-16,1,-1.85069974850408,-0.266342187289586,0.380078471602775,0.21438780826141,1.17109779505973,1.20870912694978,0.964758701010919,0.587520605193903,-0.441820895458092,-0.791418416667468,-1.17627126015929
