"Variable","Metric","Group1","Group2","P_value","P_value_FDR","Significant"
"Education_level","Observed_OTUs","9-11th Grade","College Graduate",4.83507930059554e-33,4.83507930059554e-33,TRUE
"Education_level","Observed_OTUs","High School","College Graduate",2.0614338162407e-27,2.0614338162407e-27,TRUE
"Education_level","Shannon_Diversity","College/AA","< 9th Grade",2.10497073431836e-05,2.10497073431836e-05,TRUE
"Education_level","Shannon_Diversity","College/AA","9-11th Grade",0.000122671174660429,0.000122671174660429,TRUE
"Education_level","Shannon_Diversity","College/AA","High School",6.41545622962318e-05,6.41545622962318e-05,TRUE
"Education_level","Shannon_Diversity","College/AA","College Graduate",0.00307706009161616,0.00307706009161616,TRUE
"Education_level","Shannon_Diversity","< 9th Grade","9-11th Grade",0.475796431868767,0.475796431868767,FALSE
"Education_level","Shannon_Diversity","< 9th Grade","High School",0.250755300143649,0.250755300143649,FALSE
"Education_level","Shannon_Diversity","< 9th Grade","College Graduate",7.99076145131304e-11,7.99076145131304e-11,TRUE
"Education_level","Shannon_Diversity","9-11th Grade","High School",0.67615103884259,0.67615103884259,FALSE
"Education_level","Shannon_Diversity","9-11th Grade","College Graduate",4.46092849611301e-10,4.46092849611301e-10,TRUE
"Education_level","Shannon_Diversity","High School","College Graduate",1.85833545253144e-11,1.85833545253144e-11,TRUE
"Education_level","Inverse_Simpson","College/AA","< 9th Grade",0.00774234309181121,0.00774234309181121,TRUE
"Education_level","Inverse_Simpson","College/AA","9-11th Grade",0.225149486680476,0.225149486680476,FALSE
"Education_level","Inverse_Simpson","College/AA","High School",0.0465451861838729,0.0465451861838729,TRUE
"Education_level","Inverse_Simpson","College/AA","College Graduate",0.126783992869098,0.126783992869098,FALSE
"Education_level","Inverse_Simpson","< 9th Grade","9-11th Grade",0.145686571697241,0.145686571697241,FALSE
"Education_level","Inverse_Simpson","< 9th Grade","High School",0.225149486680476,0.225149486680476,FALSE
"Education_level","Inverse_Simpson","< 9th Grade","College Graduate",0.000197415448510156,0.000197415448510156,TRUE
"Education_level","Inverse_Simpson","9-11th Grade","High School",0.544221733738689,0.544221733738689,FALSE
"Education_level","Inverse_Simpson","9-11th Grade","College Graduate",0.0174491274759166,0.0174491274759166,TRUE
"Education_level","Inverse_Simpson","High School","College Graduate",0.000648407274249139,0.000648407274249139,TRUE
"Marital_status","Observed_OTUs","Married","Divorced",0.313537895093656,0.313537895093656,FALSE
"Marital_status","Observed_OTUs","Married","Living with partner",4.15756764281641e-24,4.15756764281641e-24,TRUE
"Marital_status","Observed_OTUs","Married","Never married",7.632446852525e-09,7.632446852525e-09,TRUE
"Marital_status","Observed_OTUs","Married","Separated",6.4133222361783e-06,6.4133222361783e-06,TRUE
"Marital_status","Observed_OTUs","Married","Widowed",0.000747612908050109,0.000747612908050109,TRUE
"Marital_status","Observed_OTUs","Divorced","Living with partner",2.1682368960041e-17,2.1682368960041e-17,TRUE
"Marital_status","Observed_OTUs","Divorced","Never married",1.85506111486754e-06,1.85506111486754e-06,TRUE
"Marital_status","Observed_OTUs","Divorced","Separated",9.69415694352488e-06,9.69415694352488e-06,TRUE
"Marital_status","Observed_OTUs","Divorced","Widowed",0.0164074069828298,0.0164074069828298,TRUE
"Marital_status","Observed_OTUs","Living with partner","Never married",2.16512006983333e-08,2.16512006983333e-08,TRUE
"Marital_status","Observed_OTUs","Living with partner","Separated",0.0776378938930794,0.0776378938930794,FALSE
"Marital_status","Observed_OTUs","Living with partner","Widowed",2.41991127640487e-16,2.41991127640487e-16,TRUE
"Marital_status","Observed_OTUs","Never married","Separated",0.0776378938930794,0.0776378938930794,FALSE
"Marital_status","Observed_OTUs","Never married","Widowed",2.16512006983333e-08,2.16512006983333e-08,TRUE
"Marital_status","Observed_OTUs","Separated","Widowed",5.76158966787345e-08,5.76158966787345e-08,TRUE
"Marital_status","Shannon_Diversity","Married","Divorced",0.00975708045078325,0.00975708045078325,TRUE
"Marital_status","Shannon_Diversity","Married","Living with partner",1.66672399637868e-12,1.66672399637868e-12,TRUE
"Marital_status","Shannon_Diversity","Married","Never married",8.61704673672059e-05,8.61704673672059e-05,TRUE
"Marital_status","Shannon_Diversity","Married","Separated",4.34231046386146e-06,4.34231046386146e-06,TRUE
"Marital_status","Shannon_Diversity","Married","Widowed",0.0995328750524037,0.0995328750524037,FALSE
"Marital_status","Shannon_Diversity","Divorced","Living with partner",3.14648456685623e-13,3.14648456685623e-13,TRUE
"Marital_status","Shannon_Diversity","Divorced","Never married",9.75785501348462e-07,9.75785501348462e-07,TRUE
"Marital_status","Shannon_Diversity","Divorced","Separated",1.35486313190922e-07,1.35486313190922e-07,TRUE
"Marital_status","Shannon_Diversity","Divorced","Widowed",0.899170062179747,0.899170062179747,FALSE
"Marital_status","Shannon_Diversity","Living with partner","Never married",7.11507412934645e-05,7.11507412934645e-05,TRUE
"Marital_status","Shannon_Diversity","Living with partner","Separated",0.899170062179747,0.899170062179747,FALSE
"Marital_status","Shannon_Diversity","Living with partner","Widowed",1.35486313190922e-07,1.35486313190922e-07,TRUE
"Marital_status","Shannon_Diversity","Never married","Separated",0.00903692570378397,0.00903692570378397,TRUE
"Marital_status","Shannon_Diversity","Never married","Widowed",0.00110841624618733,0.00110841624618733,TRUE
"Marital_status","Shannon_Diversity","Separated","Widowed",1.42131491109173e-05,1.42131491109173e-05,TRUE
"Marital_status","Inverse_Simpson","Married","Divorced",0.0270113062407058,0.0270113062407058,TRUE
"Marital_status","Inverse_Simpson","Married","Living with partner",0.000139004069966795,0.000139004069966795,TRUE
"Marital_status","Inverse_Simpson","Married","Never married",0.40404584419629,0.40404584419629,FALSE
"Marital_status","Inverse_Simpson","Married","Separated",0.00671652709938519,0.00671652709938519,TRUE
"Marital_status","Inverse_Simpson","Married","Widowed",0.976199967481234,0.976199967481234,FALSE
"Marital_status","Inverse_Simpson","Divorced","Living with partner",2.09350647156328e-06,2.09350647156328e-06,TRUE
"Marital_status","Inverse_Simpson","Divorced","Never married",0.00990258503106538,0.00990258503106538,TRUE
"Marital_status","Inverse_Simpson","Divorced","Separated",0.000142928282314762,0.000142928282314762,TRUE
"Marital_status","Inverse_Simpson","Divorced","Widowed",0.287391020448271,0.287391020448271,FALSE
"Marital_status","Inverse_Simpson","Living with partner","Never married",0.00482413762335696,0.00482413762335696,TRUE
"Marital_status","Inverse_Simpson","Living with partner","Separated",0.976199967481234,0.976199967481234,FALSE
"Marital_status","Inverse_Simpson","Living with partner","Widowed",0.0267855235555307,0.0267855235555307,TRUE
"Marital_status","Inverse_Simpson","Never married","Separated",0.0272550342125565,0.0272550342125565,TRUE
"Marital_status","Inverse_Simpson","Never married","Widowed",0.663149303344718,0.663149303344718,FALSE
"Marital_status","Inverse_Simpson","Separated","Widowed",0.0340416329265685,0.0340416329265685,TRUE
"Interview_language","Observed_OTUs","English","Spanish",4.3626022712837e-34,4.3626022712837e-34,TRUE
"Interview_language","Shannon_Diversity","English","Spanish",1.32461118143761e-18,1.32461118143761e-18,TRUE
"Interview_language","Inverse_Simpson","English","Spanish",9.63081219154568e-09,9.63081219154568e-09,TRUE
"Gum_disease","Observed_OTUs","control","Gum disease",1.27868273875579e-136,1.27868273875579e-136,TRUE
"Gum_disease","Shannon_Diversity","control","Gum disease",2.76211278867646e-88,2.76211278867646e-88,TRUE
"Gum_disease","Inverse_Simpson","control","Gum disease",4.89947766834676e-42,4.89947766834676e-42,TRUE
"Oral_hygiene","Observed_OTUs","control","Poor oral hygiene",3.58626142769043e-135,3.58626142769043e-135,TRUE
"Oral_hygiene","Shannon_Diversity","control","Poor oral hygiene",1.04906117842314e-74,1.04906117842314e-74,TRUE
"Oral_hygiene","Inverse_Simpson","control","Poor oral hygiene",4.01636038371276e-34,4.01636038371276e-34,TRUE
"Tooth_decay","Observed_OTUs","control","Tooth decay",1.70513817858961e-88,1.70513817858961e-88,TRUE
"Tooth_decay","Shannon_Diversity","control","Tooth decay",1.66816249858502e-43,1.66816249858502e-43,TRUE
"Tooth_decay","Inverse_Simpson","control","Tooth decay",2.96602063305929e-15,2.96602063305929e-15,TRUE
"Oral_all","Observed_OTUs","Control","Gum Disease",5.0856655220519e-139,5.0856655220519e-139,TRUE
"Oral_all","Observed_OTUs","Control","Oral Hygiene",1.12311044207249e-29,1.12311044207249e-29,TRUE
"Oral_all","Observed_OTUs","Control","Tooth Decay",4.09310463906488e-05,4.09310463906488e-05,TRUE
